label,pivot_lang,translated,original
Блок бизнес-директора,fra_Latn,"Уважаемые [Люди]!Этим письмом мы выражаем благодарность Вам и вашей команде лично от [Людей] и [Людей] за ваше активное участие, ваш вклад и профессионализм в реализации проекта - операции цифровых решений [Document_Number]в рамках моего функционной деятельности.Благодаря вкладу вашей команды выпуск удалось провести успешно, и команда цифрового проекта смогла достичь поставленных целей.Мы очень благодарны за ваше сотрудничество и надеемся продолжить наше плодотворное взаимодействие в будущем.Спасибо!","Директору по бизнес-трансформации [ORGANIZATION] [PERSON] Общество с ограниченной ответственностью [ORGANIZATION] [LOCATION] [ID] [CONTACT] e-mail: [CONTACT] http://www.[ORGANIZATION].ru Благодарность Уважаемый [PERSON]! Настоящим письмом выражаем благодарность Вам и Вашей команде в лице [PERSON] и [PERSON] за активное участие, содействие и профессионализм в реализации ОПЭ цифрового решения [DOCUMENT_NUMBER] Моя функция. Благодаря вкладу Вашей команды, тираж завершился успешно и команда цифрового проекта смогла достигнуть поставленных целей. Мы высоко ценим наше сотрудничество и надеемся на продолжение плодотворного взаимодействия в будущем. С уважением, [PERSON] [PERSON] [CONTACT] [ORGANIZATION]"
Блок бизнес-директора,fra_Latn,"Директор по трансформации предприятий [ОГРАНИЗАЦИЯ] [ЛЮДИЯ] Предпринимательское общество [ОГРАНИЗАЦИЯ] [ЗДОНЬСТВО] [ВИДЕОКОНТАКТ] [КОНТАКТ] электронная почта: [КОНТАКТ] http://www.[ОРГАНИЗАЦИЯ].ru Уважаемые [лица] ! Мы выражаем здесь нашу благодарность Вам и вашей команде как лица и лиц за ваше активное участие, участие и профессионализм в реализации цифрового решения [DOCUMENT_NUMBER] нашей функции. Благодаря вкладу вашей команды тираж был успешно завершен и команда цифрового проекта смогла достичь поставленных целей. Мы ценим сотрудничество и надеемся на плодотворное продолжение нашего сотрудничества в будущем. С большим уважением, [КОМУСТАРАЦИЯ]","Директору по бизнес-трансформации [ORGANIZATION] [PERSON] Общество с ограниченной ответственностью [ORGANIZATION] [LOCATION] [ID] [CONTACT] e-mail: [CONTACT] http://www.[ORGANIZATION].ru Благодарность Уважаемый [PERSON]! Настоящим письмом выражаем благодарность Вам и Вашей команде в лице [PERSON] и [PERSON] за активное участие, содействие и профессионализм в реализации ОПЭ цифрового решения [DOCUMENT_NUMBER] Моя функция. Благодаря вкладу Вашей команды, тираж завершился успешно и команда цифрового проекта смогла достигнуть поставленных целей. Мы высоко ценим наше сотрудничество и надеемся на продолжение плодотворного взаимодействия в будущем. С уважением, [PERSON] [PERSON] [CONTACT] [ORGANIZATION]"
Блок директора по персоналу,fra_Latn,"[Организация] [Организация] проект магазина [АО] [ОГАНИСАЦИАЦИЯ] проект магазина ([АО] [ОГАНИзация] проект магазина) pr-kt Ленинский, 15А, Rd, rt де Донске, Москва, Российская Федерация, 119071 телефон: [Контакты] электронная почта: [Контакты] ПРЕССА [РЕГУЛАЦИЯ], ОГРАН [РЕГУЛАЦИЯ], ВОГРАН [РЕГУЛАЦИЯ], POS [РЕГУЛАЦИЯ] [ДАТАУЦИЯ] No [НУДОКАТЬИЦА_НУРОК] или No от Вас, вы уволены в переходный период для другой работы на [ВОГРАНЫ] [СТОРЕЖДИТЕЛЬ офисов], [ДАТЕЛЫ] ИСКАЗАЕТЬ ЗАДЕЛЕНИЕВАТЕЛЬ (СОБРАТЕЛИКОВИЯ) [СПРЕЖИДЕО] [ТРЕЖЕЖЕНИТЕЛЬ] [СДАНИМЕЖЕНТИТЕРОВ] [АРЕЖЕЖДЭЖЕНИТЕЛИ] [СЛЕЖЕНИТЕРЕНИЕЦИС]: [ОГОВ.РЕЖЕНИЕЖ.РИВОК.","[ORGANIZATION] шельфпроект [AO] [ORGANIZATION] шельфпроект ([AO] [ORGANIZATION] шельфпроект) пр-кт Ленинский, д. 15А, вн.тер.г. муниципальный округ Донской, Москва, Российская Федерация, 119071 тел.: [CONTACT] e-mail: [CONTACT] ОКПО [ID], ОГРН [ID], ИНН [ID], КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от Об увольнении работника в порядке перевода [PERSON] Уважаемый [PERSON]! Прошу Вас уволить в порядке перевода для дальнейшей работы в [AO] [ORGANIZATION] шельфпроект сотрудника [ORGANIZATION] [PERSON] и предоставить на работника рекомендательное письмо. Согласие работника на перевод имеется. Заместитель генерального директора по организационным вопросам [PERSON] Исп. [PERSON] e-mail: [CONTACT] Тел. [CONTACT] Документ подписан Сертификат: [FINANCIAL_DATA] Владелец: [PERSON] Действителен: с [DATE_TIME] по [DATE_TIME]"
Блок директора по персоналу,fra_Latn,"[ОРГАНИСАЦИЯ] [ОРГАНИЗАЦИЯ] Адрес юридического лица: [МЕСТИ] Телефон: [КОНТАКТ] ОРГЕН [ID], INN [ID] Адрес связи: [МЕСТИЕ] Телефон: [КОНТАКТ] Фэкс: [КОНТАКТ] Электронная почта: [КОНТАКТ] Генеральный директор [ОРГАНИЗАЦИЯ] [ЧЕЛОВЕК] В связи с переводом уважаемый [ЧЛАС] Прошу вас уволиться в силу перевода на новую работу в [ОРГАНИЗАЦИИ] в соответствии с пунктом 5 части 1 статьи 77 Трудового кодекса Российской Федерации [ЧЛАС].","[ORGANIZATION] [ORGANIZATION] Юридический адрес: [LOCATION] тел.: [CONTACT] ОГРН [ID], ИНН [ID] Адрес для корреспонденции: [LOCATION] тел.: [CONTACT] факс: [CONTACT] e-mail: [CONTACT] Генеральному директору [ORGANIZATION] [PERSON] Отношение на перевод Уважаемый [PERSON]! Прошу Вас уволить в порядке перевода для дальнейшей работы в [ORGANIZATION], согласно пункту 5 части первой статьи 77 Трудового кодекса Российской Федерации [PERSON]. Личное согласие [PERSON] имеется. С уважением, Генеральный директор [PERSON] [PERSON] [CONTACT]"
Блок заместителя генерального директора по организационным вопросам,fra_Latn,"для ограниченной ответственности [Организация] [Место] [Документ_нумер] INN/KCP [ID]/[ID] Главе отдела социальной защиты компании (ПРОДУКТ] [Организация] [Людиста] Вопросить об удлинении службы [ПРИДНЕ] почтенному сотруднику [ЛЮДИКОМ]! из-за необходимости работы, избежать прекращения службы сайта и решить, сколько сотрудников будет меняться место, компания просит вас договориться об удлинении рабочих постов [DATE_TIME] [FINCIANAL_DATA] С работниками в следующие дни: больше нет встреч, больше нет общих переговоров, нам предоставляются условия [Общие контакты], мы сообщаем вам об условиях сотрудников, которые не подлежат продлению [СПОРИТЕЛЬНАТЬ] [ДАНАТ] [ВНОИМНЕННИК] (СТАРКОШЕНЬЯ], [СОПАСТОИ] [СВРЕЗОБОБРАЗАНДОВ] [ЗО СЛЮЖЕННИК] [ДЕНЬ СВЕЗДЕНЬОБЫ] [БО БЛЮТРАЖЕННЬ] [НИА] [ДОНЕЗАСЛАСОБИТЕ НАИ] [СЛЕЗВЫЙДЕЛИЗЕЕ ЖЕЛОВОЖНИЙ:","Общество с ограниченной ответственностью [ORGANIZATION] [LOCATION] [DOCUMENT_NUMBER] ИНН/КПП [ID]/[ID] На начальнику управления социального благотворительного обеспечения ООО [ORGANIZATION] [PERSON] Запрос на продление вахты на [OBJECT] Уважаемая [PERSON]! В связи с производственной необходимостью, во избежание срыва оказания услуг на объекте [OBJECT] и упорядочивание дат перевахты сменников по должности сотрудников, ООО [ORGANIZATION] просит Вас согласовать продление срока вахты с [DATE_TIME] на [FINANCIAL_DATA] дней для следующих сотрудников: No Должность [PERSON] [PERSON] [FINANCIAL_DATA] [DATE_TIME] Сообщаем, что сотрудник не имеет медицинских противопоказаний, а также при условии, что смена сотрудников не позднее выезда сменных дат, общего срока пребывания не превысит [FINANCIAL_DATA] дней. Генеральный директор ООО [ORGANIZATION] [PERSON] Информация по телефону: [CONTACT] E-mail: [CONTACT]"
Блок заместителя генерального директора по организационным вопросам,fra_Latn,"[Личный] [ЛИСТА] Уполномоченных лиц для переговоров с Организацией, поставляющей энергию [ЛИСТА] [Имя] [Название] [Имя лица] [Организация] [Объект] [Неофициальный] [Очень важное условие] [Нома организации] [Официальный] [Объект] [Номер контракта] [Номер документа] [Номер документа] [Серьежа] [Декорация] [Номер документа] [Домарт] [Дальнер] [Означение] [Заявление] [Заявление]] на заместителя генерального директора по организационным вопросам [Организация] [Лица] [Список] Лицу лиц, уполномоченному вести переговоры с Организацией, поставляющей энергию [Контакт] [ЛИСТА] [Факс] [Номенед] [Объявление] [Название] [Название] [Заявление] [Номера документа] [Номера документа] [Постановление] [Соответствие] [Номер документа] [Отметка] [Отбор] [Отчет] [Объявление] [Ответ] [Номер договора] [Ответ] [Отчет] [Объявление] [Отговор] [Оговор] [О согласование] [О] [О] [О] [Обещение] [О] [О] [О] [О] [О] [О] [Всегда мы] [Свиков] [Считаем] [О] [О] [О] [О] [Все] [о] [О] [О] О] [О] [О] [О] [О] [О] [о] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [о] [О] [О] [О] [о] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [В] [О] [В] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [В [О] [о] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О]] [О] [О] [О]] [О] О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О] О] [О] [О] [О] [О] [О] [О] [О] [О] [О] [О"" О] [О] [О] [О] [О] [О] [О] [О] [О] О] [О] [О] [О"" [О] [О""О] [О] [О""О] [О""о] [О""О""О] [О""О""О""О""О] [О"" [О""О""О""О""О""О""О""О""О""О""О""О""О""О""О""О""О""О""О"" [О"""" [О""О""О""О""О""О"" [О""О""О"" [О""О""О""О""О"" [О""О""О""О""""О""О""О"" [О""О""О""о""О""О"" [О""О""О""О""О""О""О""О""О"" [О""О""О""О""О","Офисно-общественный комплекс [OBJECT], [LOCATION] Тел.: [CONTACT] Факс: [CONTACT] E-mail: [CONTACT] Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] г. Заместителю генерального директора по организационным вопросам [ORGANIZATION] [PERSON] Перечень лиц, имеющих право ведения переговоров с энергоснабжающей организацией Уважаемый [PERSON]! Между [ORGANIZATION] (далее Заказчик) и [ORGANIZATION] (далее Исполнитель) заключен Договор No [DOCUMENT_NUMBER] от [DATE_TIME] г. на оказание услуг по комплексному обслуживанию объектов социально-бытового назначения на группе месторождений проекта ЧОНА (далее – Договор). [ORGANIZATION] выражает признательность за партнерские отношения между нашими организациями и благодарит Вас за сотрудничество. В рамках исполнения обязательств по заключенному договору отправляем Вам информацию с указанием перечня лиц имеющих прав ведения оперативных переговоров с энергоснабжающей организацией на объекте оказания услуг [ORGANIZATION] (Приложение No1). Просим использовать данную информацию в работе. Надеемся на Ваше понимание и дальнейшее плодотворное взаимовыгодное сотрудничество. Мы всегда готовы ответить на все возникшие вопросы. Генеральный директор [PERSON] Бесплатная горячая линия: [CONTACT] *662 – с мобильных [CONTACT] ИНН [ID] КПП [ID] ОКПО [ID] ОГРН [ID] ISO 9001 ISO 14001 OHSAS 18001 ISO 22000"
"Проект ""Новая нефть""",fra_Latn,"[Опись] Имя учреждения [Документ] Имя человека [Люди] Электронный адрес: [Контакты] Kasaeomo Имя учреждения [Люди] Копии: Исполнительному директору проекта [Люди] Дорогие друзья! В ответ на Ваш подарок!Нет [data_time], сообщаю вам, что цветовая схема [data_finance] [предмет] для [предмет] предназначена для вас [лицом].Коннектёры/референтеры приглашают Вас к адресу информационной таблицы [выдача данных].В ответ на вопрос [имя] [источник] [имя] [цитата] [предмет], сообщаю Вам, что цветовая схема [официальная информация] [целевая информация] [целевой материал] была согласована [предмет] для кандидата.","[ORGANIZATION] [ORGANIZATION] [OBJECT] [LOCATION] Исх. No [DOCUMENT_NUMBER] Зам. управляющего директора по управлению проектами [ORGANIZATION] [PERSON] e-mail: [CONTACT] Касаемо [OBJECT] [ORGANIZATION] Копия: Исполнительному директору проекта [ORGANIZATION] [PERSON] [CONTACT] Уважаемый [PERSON]! В ответ на Ваш исх.No [DATE_TIME] сообщаю, что схема цветового решения [FINANCIAL_DATA] [OBJECT] для [OBJECT] согласована со стороны [ORGANIZATION]. Направляю в Ваш адрес ЛКП схемы [FINANCIAL_DATA] СЦМ стойки СГДУ. Приложение – ЛКП схемы [FINANCIAL_DATA] СЦМ ([OBJECT]) зам. [ORGANIZATION]. Вышеуказанное приложение в эл.виде направлено на e-mail: [CONTACT] и [CONTACT]. Главный конструктор ГЭО [PERSON] Исп. Губернаторов [PERSON] тел.: [CONTACT] e-mail: [CONTACT]"
"Проект ""Новая нефть""",fra_Latn,"[KONTACT] TELEFON: [CONTAT] E-MAIL: [CONTAT] COMPUTATION [ID], OGRON [ID], INN [ID]/KPP [ID] от [DATE_TIME] N° [Document/LE] на оси No [Document/LE] от [DATE_TIME] Главный исполнительный директор проекта Chon [Пerson] [Contact] Реорганизация коммуникаций [PERSON] [Person] [CARE! После изучения материала полевых отчетов мы согласны с точностью технических отношений на участке объекта [DATE_TIME] в 2024 году. Постановление о ликвидации нефтяного производства по направлению [PORTORPRODUCTIONWEB II. Вывод нефти на рынок по направлению [PORTORPRODUCTIONWEB Опубликование деятельности главного директора нефтегазового сектора [ПОНФОРМАЦИЯ]: [ЭФЕС] [Инициатива] [ПОРТОРТОРУКЦИЯ 1] [ЭТЕРГЕНИЯН] [ЭКРЭТОВЕССТЭА] [ПРИЕКТОРЫЯ] [РЕКЧЕСПРИА 1] [РЕКЦИЦИАЦИЯ 2 [РЕЧЕНТРОДИЯ 1] [РЕКТРЕКЦИЯ 2] [ЭРЕКТРЕЦИА 2] [RЕКТРЕЦИЕЦИЯ 1 [ТИРЕЦИЯ]: [РЕЦИРЕЦИЯ 2] [RÉC 2 [РЕЦИРЕЦИА 2] [RЕЦИЕЗЕ 1] [РЕЦИРЕ 2 [РЕЗРЕ 2] [РЕЗЕ] [РЕ 2 [ЭРЕЦИРЕ 2]: [RЕЦ] 2 [РЕЦИРЕ 2[RE 1 [РЕЦИ] [RE 2] 2 RECE] [ТЕЦИРЕК] [E 2:[N 1 [RE 1 [RE] [RE] 2 [RECE] 2 [N2 [I] [RERE][RE] 2 RERE 2 [RE] [R] [TRECE: 2 [Reproduction] 2 [E] [N 2 [RERE] [RE] 1 [I: 1 [RE 2 [RE: 1 [RERE] [R: [RE: 2 [RE] [RE2 [RE] 2[E: 1 [R] 2 [RE] 2 [RE 1 [RE] [RE] 2] 2 [TRA] [RES [RE] [RE] 2 [RE] [R] 2 [RRE] [IRE] [N [RES] [RE] [T] [RE][] 2 [Re: 2 [RE 2 [E 2 [R: [R[A 2 [RRE]: 2 [R] [RE: 2 [Re: 2 [R[R ERE] 1 [E] [RE] [E] [REM [E] 2 [RE] [R [R: 2] [R[E: [R]] 2 [N [O [Re: 2 [I[E][RRE] [RE] [R] [R]] [Re] [RE 2 [R: [R] 2] 2 [R: [R[RE] [[] 2 [I [RE] [P: [R REA [R] [R: [R] [R] [R[A[E][N [R [R]] [R[E] 2 [E[RE [R: REL] [R[R [R] 2 [R: [R[R[N [R] [R [N [R]: [R] [R: 2 [E: 2] [E: R2 [R]: [R[O[Re] [E [RE][[[] [R] [T 2[[] [Re]: [RR[E 2 [RE [R][R]] [R[E][] [Re] 2 [I: [E [R] [N] [R][R] [R [N [[R: [R] [R]","[ORGANIZATION] Адрес: [LOCATION] Телефон: [CONTACT] e-mail: [CONTACT] ОКПО [ID], ОГРН [ID], ИНН [ID]/КПП [ID] от [DATE_TIME] No [DOCUMENT_NUMBER] на No [DOCUMENT_NUMBER] от [DATE_TIME] И.о. исполнительного директора Крупного проекта Чона [PERSON] [CONTACT] О согласовании коммуникаций Уважаемый [PERSON]! Рассмотрев материалы топографической съемки, согласовываем правильность нанесения инженерных коммуникаций [ORGANIZATION] в месте пересечения с объектом [OBJECT] Тымпучиканского НГКМ. Конденсатопровод [OBJECT] Тымпучиканского НГКМ - т.вр. в напорный нефтепровод [OBJECT] до [OBJECT] Игнялинского НГКМ. Участок No 2. Приложение: схема пересечений, на 1 л. в 1 экз. Заместитель генерального директора по производству – главный инженер [PERSON] Исп. [PERSON] ([CONTACT]) Российская Федерация [LOCATION] [OBJECT] СОГЛАСОВАНО Инв.N Получатель Взам. инв.N Расположение инженерных коммуникаций [ORGANIZATION] Главный маркшейдер [ORGANIZATION] [OBJECT] - м.б. 6 Направление нефтенефтяной [OBJECT] до [OBJECT] Мшанское НКМ. Участок N2 Проектная ось МНФ(1)-ТВТ.У2 [WEBSITE] 2. [LOCATION] 2024"
"Проект ""Новая нефть""",fra_Latn,"Как основного элемента проектирования, изготовления и поставок агрегатов [ФИНАНЦИАЛНЫЕ_ДАННЯ] для объекта [ОТКРАСЬ] (ПОДКОНИТЕ ПОСОКИ] ДЕНИСПЕТА] СОЛОЖЕНИЕ] [ДОКЛАДНЫЙ ЧАСТЬ] [ДАТА] РАЦИОННОГО ДНЯ], мы отправляем вам наклейку положения трубопроводов, указывающую массовые характеристики частей трубопровода, что следует учитывать при изготовлении расчета газового давления на ласточках сдувного компрессора.Мы быстро сообщаем вам, что ваши поставщики газовых заряда не должны поставлять реальные деталями нагрузки на компоненты сдувного компрессора.Цифра трубопровода представлена следующим образом: [Количество деталей, значение уровня давления, значение устройств], [Количество деталей и мощность устройства], [Количество устройств, установка, оборудование, производительность, значение конструкции, мощности устройств] [Кличество элементов, количество оборудования, количество и стоимость [количество]. [Количество деталей] [Количество оборудования, [количество] [количество], [количество] [котикупиие] [чило [кодикта]: [число] [коти], число [колько (в, номер] произведения [челочки], число, номести, стоимость, значение и оборудование [дельный номер] [доходы, [но [коль] [котиру] [которые [которые] (но] ] [который участвующие]].","[ORGANIZATION] [ORGANIZATION] [LOCATION] Телефон/факс: [CONTACT] [ORGANIZATION] [PERSON] [CONTACT] [PERSON] Уважаемый [PERSON]! В рамках проектирования, изготовления и поставки агрегатов [FINANCIAL_DATA] для объекта [OBJECT] (ТТ No [DOCUMENT_NUMBER] от [DATE_TIME]), направляем в Ваш адрес предварительный эскиз расположения патрубков, с указанием массо-габаритных характеристик участков трубопроводов, для учета при выполнении расчета усилий от газовой обвязки, передающихся на фланцы компрессорной установки. Дополнительно сообщаем, что фактические величины нагрузок не должны приводить к отрыву лап компрессоров НД и ВД от фундаментной рамы и превышать значения указанные в таблице 5 документа [DOCUMENT_NUMBER] Д1. По результатам проведенных расчетов, просим сообщить нагрузки и перемещения в опорах No1 - No6 (согласно эскиза в приложении) по форме: Нагрузки и перемещения в креплениях (Наибольшие значения): Узел Оси Рабочее состояние Холодное состояние при испытанияхСилы, (кгс) Моменты, (кгссм) Перемещения, (мм) Силы, (кгс) Моменты, (кгссм) Перемещения, (мм) опора No1 X Y Z Приложение: [DOCUMENT_NUMBER] Э Эскиз расположения патрубков. Главный конструктор ГЭО [PERSON] Исп. [PERSON] тел. [CONTACT]"
Блок заместителя генерального директора по защите,fra_Latn,"Операция) Общество с ограниченной ответственностью [СОВЕСПЛАНИЕ] В Контакте [Продукция] [Репорт] [Лица] [Организация] [Дата] [Адрес] [Определение компенсации] Главному дирекции Газпромнефть-Заполярника [Люди] [ЛОКАЦИЯ] [ЛОКАЦИЯ], Российская Федерация, [ЛОКАЦИЯ] телефон: [Контакт], стр.: [КОМПУТЕР] электронная почта: [Контакт] [WEB WEBSON]. [Посаж] [DISPONSORT] [МОДИЕК] [Время_КОНТОМ] [Тепп]] [РОСТИБЛИЙ] [РОСТИБЛИЙ] [Теппорное] [Теппорное] [Теппорное_ДЕСПОНТ] [Тепное] [Тепное] [Тепловое_Тепположение] [Генекоментальный период] [Тепсовый период] [Тепсовый период] [Тепсовый период] [Временный период] [Темний период] [Рейденный срок] [Темьимут] [Реймер] [Осрочность] [Рейденные результаты] [Врезиденция] [Времонтный момент] [Вреставление] [Тем] [Решение] [Врезвище].

КОМЕНТАТ ВНИМАНИЯ ДЕНЯ - СМЕРО, КОГДА СЕПЪЩЕЛИ: Лицу, работающему в отделении [с] А_ТЕМЯРА (А_ТЕНЕМЯРА) [НИЧЕМЯРО, ИЧЕМЯРЬ] ПО ПРОСТАНИЕ [ЧОЙ-ТО ПО ТЕМЕРА] [У ДЕЙСТВЕНИ] [ВО ВОПРОС] ОДНИМЬ ДЕЙСТВЕННЫЙ ДЕЙСТВЕННЫЙ ДЕЙСТВЕНИ ПО ПРЕЧИТЬ НА: От лица, который в отделении [о ДЕСТВЕННЫЙ ДЕЙСТВЕНИ] [НАЧИТЕ] ПРОСТАНИЯ: [КАЧИТЕЛЬ ДЕЛЯ] Прод этим рабочим ОДИНТЕМЯ - [ОДЕСТВЕЙСТВЕННННИ] На страницах [О ТУДИНЬГОЛЕ] [О ДЕЙСТВЕТМЕ] [О ВРУ ПОСТЕНИТЕПАНИ] На [АЧЕТАТ] [УДЕЛЕНО НА] РАЧУ ДЛЬШНИ [ТРЕПРЕТЕТРУ ТРЕЖИНЯЕНИ] - ОДЕНИВО: [У ПРЕДЕСТРЫ [О] МЕШЕСТРЕНЕВОДЕЛИ [ЗВЕТРС] О ПОТРИМЬИЙ ИНИ] В ДРУТРАНИТРЫ: УТРЕ: О ПО ПРЕЧИМЕНИЕТИ В КОБОТРИА ТОРОТСТРУТНИРОВ О С ВЕЖИДЕНИИТЕ (СТ РАНИ, УТРАННЫТНУРИЙ ДЕ ТРИ ПЛОЙРИ С КТРЕДОМ И РАНЩНОМЕМЕНИЙ ВОЙЛЬЧЕСТИРОНОСТИ: ДЛЕТВНОБЛИВА (Ф - ОТРУС ВОБИО) ДЕЛЕНТИИ РАЧЕСТУ ДЕЛИ: [КУДОСНОМЕНЕНИЯ, ВТРЮЧЕНИ В КО ТАНЯ В РЕВИРУЖДВЕМЕНЯ) (ВО РАННО МЕСЯТРРИСЕРОПОБИ РЕ ЖЕНИИТТРТ ВРЕСТЫЙ) ДЕЛЬ С С ДЕСИЯ ДО СРО В ДЕ (НО) [РЕДИРАСТВОВО: _ВОД В РИЧЕСЧЕСТЕТЕЙНОЛИ ДЕ ПЛЬ ТО РО ТРТРУРСТВИЕННИТЕ НЕ Ж.ПЕРТУНО ЛЕТСТВО ТРОЛЬ МЕНО С О ДЕЛИВО В С: О СТРБН: СРУБОЛЫЙ РА:РЕТЕЙТВО ТОРЯ ПО В В РУЧИРВО ДО СОДИ В РЕСТИТЕСТ ВРЕ ПРЕ РИ ВРС РИВЕВОГОДЫСО МЕ РРЫВОБОБО Р ИРТСТУЧС ТРИТЕТРЕ З: О

ОТОПИК НА подпись о проведении инспекции актера [ЛЮДЬ] (личность, фамилия) [ИМЕНКО] [БОСОВЬ] [Людчина] Подпись прозвучало от водителя [Хона] и было объяснено в заявлении [ОРГЕНЫ] Подписи подписей о присутствии актера [О] [Люди] [Люди] [Люди], [Подпись о присутствии свидетелей] [О]. [Люди] [Люди] [Люди] Официальная информация [О] [Люди] [Основное] [Люди] [Претензии] [Данные обстоятельства] [Подписи] [ВОСПЕЧЕНИЕ] [ОБСЧИТАНИЕ] [Дела], [Инспекции] [Функции] [Юридические условия] [Коммерсия] [Люди, [Приемные действия] [Германия] [Учебы] [Юридическая деятельность] [ПРИЛОБЫ] [ГЕРМАНИ] [СКОНДЕРМА] [УЩИЕЕЙ СУРЕДЕНИТИ - [НИЗЗДОЕЙТРЕЧЕС] [ПРЕСЛЯ] [КОНСТОРАННАМ [Г [ГЕРМЕНС] [ЛЮДЕЛЬГОВО] [ГАРГЕРМАТИЙНОЙ [Г] [ГР.","[ORGANIZATION] ДОБЫЧА НОЯБРЬСК Общество с ограниченной ответственностью [ORGANIZATION] ДОБЫЧА НОЯБРЬСК (ООО [ORGANIZATION] ДОБЫЧА НОЯБРЬСК) Генеральному директору [ORGANIZATION] Газпромнефть-Заполярье [PERSON] [LOCATION], Российская Федерация, [LOCATION] тел.: [CONTACT], факс: [CONTACT] e-mail: [CONTACT] www.[ORGANIZATION].ru [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на [DOCUMENT_NUMBER] нарушении пропускного и внутриобъектового режимов на [OBJECT] Уважаемый [PERSON]! [DATE_TIME] на КПП 0 км [OBJECT] при осмотре въезжающего транспортного средства марки [VEHICLE_TYPE] г/н [FINANCIAL_DATA] под управлением водителя [ORGANIZATION] [PERSON] [PERSON] за спинкой заднего сидения были обнаружены две пластиковые бутылки объемом 1,2 литра. [FINANCIAL_DATA] [FINANCIAL_DATA] две стеклянные бутылки водки объемом 0,7л. [FINANCИAL_DATA] [FINANCIAL_DATA] Прошу Вас поручить проведение претензионной работы по данному факту, о результатах которой и принятых мерах сообщить в [ORGANIZATION] [ORGANIZATION] прошу уведомить [ORGANIZATION] об исключении [PERSON] из списков работников, допущенных к выполнению работ на объектах [ORGANIZATION]. Приложение: Материалы на [FINANCIAL_DATA] в 1 экз. Заместитель генерального директора по корпоративной защите [PERSON] [PERSON] [FINANCIAL_DATA] ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат: [ID] Владелец: [PERSON] Действителен: с [DATE_TIME] по [DATE_TIME] АКТ No [DOCUMENT_NUMBER] о нарушении пропускного и внутриобъектового режимов [DATE_TIME] года. КПП-0км [OBJECT] Мной, [PERSON] К.О. (ФИО работника охранныго подразделения, составившего акт) в присутствии: [PERSON] А.О. (Должность ФИО присутствующих при составлении акта) составлен настоящий Акт о выявленном нарушении пропускного режима, выразившемся в следующем: [DATE_TIME] г. в [TIME] (час) в ходе осмотра таможенного средства [VEHICLE_TYPE] [FINANCIAL_DATA] ХВ НП, под управлением [PERSON] [PERSON]. В соударение с организацией [ORGANIZATION] заказчик [ORGANIZATION] располагающую на территории центра газов [LOCATION], на складе рабочего места водителя было обнаружено ше шесть пачек сигаретных бумаг [FINANCIAL_DATA] раздая [FINANCIAL_DATA], где турбинный смазывающий материал [FINANCIAL_DATA] [FINANCIAL_DATA] были самодельные [PERSON] получили предложение [FINANCIAL_DATA], п. [DOCUMENT_NUMBER] СПО [DOCUMENT_NUMBER]. Меры, принятые к нарушителю: составлен акт [DOCUMENT_NUMBER] Допрос сотруднику [PERSON] на предмете причин нарушения. Иные значимые обстоятельства: Присутствующие (подпись) [PERSON] (подпись) [PERSON] С актом ознакомлен (подпись, дата) (Фамилия, инициалы) От подписи об ознакомлении с актом [PERSON] отказался(-лась). Присутствующие (подпись) [PERSON] (подпись) [PERSON] Акт составил (подпись) [PERSON] [ORGANIZATION] [ORGANIZATION] АКТ об отказе получить предложение о даче письменного объяснения Россия [DATE_TIME] Я, [PERSON], в присутствии инспектор МЗ [LOCATION] [PERSON] инспектор СКЗ [LOCATION] составили настоящий акт в том, что работник [PERSON] [ORGANIZATION] отказался получить предложение о даче письменного объяснения. Присутствующие: [PERSON] (подпись) [PERSON] (Ф.И.О.) С актом ознакомлен (подпись, дата) (Ф.И.О.) От подписи об ознакомлении с актом [PERSON] отказался(лась). (Ф.И.О.) Присутствующие: [PERSON] (подпись) [PERSON] (Ф.И.О.) Акт составил [PERSON] [ORGANIZATION], ООО Вх. No [DOCUMENT_NUMBER] от [DATE_TIME]"
