label,paraphrase,original
Блок директора по проектированию,"ПЕЕРСАНО ""О результатах исследований на основе ""Части потока"", которые были сделаны по договору No ДУМБЕРА [Протокол учета затрат по исследованию на основании ""Части потока"" от [PERSON] по ""Части потока"" по ОКР No DEEAR] с предоставлением скидки на объемы, проводимые при предоставлении скидки при наличии потребности контроля за разработкой на [OBJECT') и при наличии необходимости предоставить скидку на результаты (например, по истечении 1 месяца) для будущего договора.

**Ученый: [CONTRACT] (OBJECT) - ""СКАЖИН - ""КВАЗИН"" ** **, ""ГНКМ-"" - ***Однако: Въездные и устьевые работы"" - *Откачка на песчаных скважинах* - ** Вводы - ** - ""КВАЗИН***"" - **- * Откачка откачки на песчаную ГНКМ** - **.

Стоимость услуг Ед. м3пенье (ЕМС) - это возможность запускать скважины на прямых отводах (ФЛНЗЛ), по которым ведется строительство, по стандартным схемам обвязки. В соответствии с типовой схемой обвязки трубопроводов, нормативное время для работ - 2-3 дня.** Пакет стоимости работ (EAR) - это стоимость услуг ЕМС, стоимость которых определяется по типовой схеме обвязки скважин.*** 3. На фоне, который образуют объект строительства, также требуется время для установки/демонтажа труб (МТС).","Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] Генеральному директору [ORGANIZATION] [PERSON] Об исследованиях скважин методом части потока на [OBJECT]. Уважаемый [PERSON]! В ответ на Ваш запрос, подтверждаем возможность проведения исследований [FINANCIAL_DATA] скважин установкой метода части потока в [YEAR] по договору No [DOCUMENT_NUMBER]. В Приложении No1 к данному письму представлен плановый срок завоза установки на [OBJECT] и календарный график работ. В Приложении No2 к данному письму представлен расчет стоимости оказания услуг с учетом представленного объема с учетом скидки. Общая скидка на объем [YEAR] составит [FINANCIAL_DATA]. Обращаем Ваше внимание что наша Компания выполняет исследования по контролю за разработкой на [OBJECT] методом части потока с отбором проб. При наличии потребности контроля за разработкой на [OBJECT], мы можем организовать периодические, регулярные замеры групп скважин (например раз в [DATE_TIME] месяцев) методом части потока с предоставлением скидки до [FINANCIAL_DATA] к будущим гарантированным объемам и закреплением расценок в ДС к действующему Договору. Директор [ORGANIZATION] [PERSON] Исполнитель: [PERSON] тел.: [CONTACT] [FINANCIAL_DATA] СКВАЖИН [OBJECT] [MONTH] [MONTH] [MONTH] [MONTH] [MONTH] [MONTH] [MONTH] **Вид работ** - **Приемка** - **Подготовка установки в фундаменте** - **Проведение работ на песчаном ГКМ** - **Откачка на ГНКМ** - **Подготовка работы** **Методы исследования [FINANCIAL_DATA] СКВАЖИН** [MONTH] [MONTH] [MONTH] [MONTH] [MONTH] [MONTH] [MONTH] **Вид работ** - **Приемка** - **Подготовка установки в фундаменте** - **Проведение работ на песчаном ГКМ** - **Откачка на ГНКМ** - **Подготовка работы** **1. Наработающих на МУН СКВАЖИНАХ потребуется краткосрочная откачка скважины (2 часа) для монтажа и демонтажа устьевого оборудования.** **2. На оставляемых СКВАЖИНАХ потребуется запуск скважины на прямой отвод на факел на 3 суток.** **3. На фоне, который образует объекты строительства также требуется время на монтаж/демонтаж, опрессовку трубопроводов (ФЛНЗЛ) в соответствии с типовой схемой обвязки для исследований скважин, нормативное время 4-5 суток.** Пакет стоимости работ [YEAR] м3мепения дебита методом части потока. Без СКИДКИ Наименование услуг Ед. м3мепения (ЕМ) Стоимость ЕМ, руб. Мтого, руб. Кон-во Мтого, руб. Кон-во Мтого, руб"
Блок директора по проектированию,"ДЕПАРТАМЕНТ ПО НЕДРОПОЛЬЗОВАНИЯ В Уральском федеральном округе (Южный Урал) по [ОФЦИОН) / / EAR / documentation of [ORGANIS] / No / CONTROPLE PICER[PIRES] / [OFFION] От спонсора: [OFFICE / APEAR] / ADPENTAINT] по ""Организациям недропользования

И согласовав с ""ЛУКИОН"" [DATE_TIME] предложения по лицензированию недр, находящихся на территории РФ (Италия), изложите в своем письме сведения о названии и координатах прямоугольных хранилищ, а также схему расположения земельного участка (участки) с указанием местоположения (посещения) участков (посещаемых). [PERSON] [СЕНТАТ] / ""АТЕ"". [LETINION] (и) в системе ГСК.","[ORGANIZATION] ДЕПАРТАМЕНТ ПО НЕДРОПОЛЬЗОВАНИЮ ПО УРАЛЬСКОМУ ФЕДЕРАЛЬНОМУ ОКРУГУ ([ORGANIZATION]) Отдел геологии и лицензирования Департамента по недропользованию по Уральскому федеральному округу по [LOCATION] Тел. [CONTACT] доб.[OFFICE_NUMBER] E-mail: [CONTACT] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [PERSON] представлении в [ORGANIZATION] предложений по лицензированию на [YEAR]-[YEAR] гг. по [RESOURCE_TYPES], [RESOURCE_TYPES] и [RESOURCE_TYPES] Руководителям предприятий Уважаемые коллеги! В целях формирования доходной части бюджета Российской Федерации в [YEAR] и [YEAR] гг. за счет предоставления в пользование новых участков недр для разведки и добычи полезных ископаемых, обеспечивающих реализацию приоритетных государственных проектов, формируются Перечень участков недр, предлагаемых для предоставления в пользование в [YEAR]-[YEAR] гг. для разведки и добычи полезных ископаемых, для геологического изучения недр, разведки и добычи полезных ископаемых, осуществляемых по совмещенной лицензии ([RESOURCE_TYPE], [RESOURCE_TYPE], [RESOURCE_TYPE]). Прошу Вас до [DATE_TIME] сформировать и направить в Отдел геологии и лицензирования по [LOCATION] Департамента по недропользованию по Уральскому федеральному округу ([ORGANIZATION]) свои предложения по лицензированию участков недр, расположенных на территории [LOCATION], включая информацию по наименованию участка недр, координатам угловых точек в системе ГСК-2011, с приложением схемы расположения предлагаемого (предлагаемых) участка (участков). [PERSON] [CONTACT]"
Блок директора по проектированию,"С благодарностью к [ALIGING] [ОБОБЕКТ], ""DETAINO], ""СОБЕКТ"", (далее - ""ЛОКАТИЙ""), на письмо ""ALEGANI"" от [OBJECT"" (далее - ""ATION"") по [ATION], [ATION] (""Объявление: ОБЕНКТАКТ"") [ОБЕХТИОН"" (далее: ""CON"") (далее - ""ORGANI"".

После рассмотрения комиссией [DOCUMENT] документа ""ОФЕРАТОР"", сообщение (письмо от [OBLECT] No No DOCUMENT NUMBER ) было направлено в адрес [DOCUMENT NUMBER], далее - ""OFERATOR"" (от ""DOCUMENT NUMBER]) с просьбой рассмотреть и согласование документов, включающих в себя ""Органс"").

Согласно поручению [RGANI's Data] No CUMENT NUMBER], письмо от ""OBJECT"" было направлено в адрес [РОГАНИI's Data's date line"" (далее ""BMED"" No ""DOCUMBER"") и сообщение о том, что [Meta's Data's """" (по тексту - DOCUMENT NUMBER-OBBER”) для реализации проекта ""ОББО"".

По сведениям, поступившим в адрес [ОргИ-АТИОН] и [ОПЕТАРО], а также по предложению [ОргИ-АТИОН] экспертами ""ЕРЖЕТА"", ""PERATOR"" (далее ""ПЕТЕРАТОР"", они исключены из списка поставщиков услуг по добыче нефти на нефтедобывающих оторочках месторождений, [ОРГИНЯЦ""), [ОРГАНИО] является единственным поставщиком услуг по добыче нефти на территории месторождения ""РОГАНИ-АТИОН"".

Информацию об планировании разработки нефти в Южных АТЭС No DATE_TIME No DATE-TIME No DATE-TME No DECUMENT' Number было согласовано [OTROLL] на двух песчаных площадках на двух песчаных площадках, что противоречит предложениям по строительству шести скважин на участке ""ОБЖК"", которые были запланированы как раз на 2018 год.[PROTOCOL] на двух песчаных площадках ""В"":

В соответствии с вышеизложенным прошу принять на рассмотрение нефтяную программу в соответствии с предлагаемым пакетом технических предложений [ОПЕРATOR] для разработки нефтепромыслов южной части ""Оргенату"" и ТОРЕТОВ [ОФЕНАТОР] и прислать ее [OFENOUR], которая должна быть включена в новый проектный документ о разработке месторождений Южной части [OBJECT] до официального предоставления: 2.) *.*; 1.

По результатам согласования с ""Оргением"" и ""АТИОН"", полученным в [DOCUMENT_NUMBER], мы должны предоставить копию письма из [ANIX] No [DECUMENT_NUMBER]No No DATE_TIME, содержащего справку на No DATE-ATION's No DATE TIPERO / No TOWBER."". 4.

Реквизиты документа: [DOCUMENT_NUMBER] (DOCUMENT_NUMBEER), DATETIME"" (Регистры): [DECEMBER] / ""DECIBENT_NUMBER], [DOCUMENT_NUMBER"") (заверены ЭСТРОН"" по [ECOCUMENT_NUMBER] (Гражданство - REPERSON)","[ORGANIZATION] [LOCATION], [DATE_TIME] [CONTACT], факс: [CONTACT] e-mail: [CONTACT] www.[ORGANIZATION].ru [ID], [ID], [ID], [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на [DOCUMENT_NUMBER] от [DATE_TIME] [PERSON] [PERSON] [PERSON] [PERSON] О рассмотрении предложений [ORGANIZATION] по [OBJECT] Уважаемый [PERSON]! В ответ на письмо [ORGANIZATION] (далее – [ORGANIZATION]) от [DATE_TIME] No[DOCUMENT_NUMBER] сообщаю следующее. По результату рассмотрения специалистами [ORGANIZATION] протокола совещания [ORGANIZATION] (далее – [ORGANIZATION]) и [ORGANIZATION] (далее – [OPERATOR]) о согласовании основных проектных решений для участия в новом проектном документе Дополнение к технологической схеме разработки [OBJECT] (письмо от [DATE_TIME] No [DOCUMENT_NUMBER]) [ORGANIZATION] в адрес [ORGANIZATION] и [OPERATOR] направлено обращение (письмо от [DATE_TIME] No [DOCUMENT_NUMBER], далее - [DOCUMENT_NUMBER]) где было отмечено, что рассмотрение материалов и согласование решений проходило [ORGANIZATION] и [OPERATOR] без привлечения [ORGANIZATION] и [ORGANIZATION], а также определены риски проектных решений, предлагаемых [OPERATOR], в качестве влияния их на разработку [OBJECT]. В рамках исполнения поручения [ORGANIZATION] (письмо от [DATE_TIME] No [DOCUMENT_NUMBER]) в адрес [ORGANIZATION] и [OPERATOR] был направлен дополнительный запрос (письмо от [DATE_TIME] No [DOCUMENT_NUMBER]) информации по существу схожей в большей степени с замечаниями [ORGANIZATION] в обращении. Также специалистами [ORGANIZATION] рассмотрены технико-экономические предложения по разработке нефтяных оторочек и газоконденсатных залежей блоков Юж II-3 и Юж II-4 проекта Хамакинский горизонт фаза Газ [OBJECT] (далее - [FINANCIAL_DATA]), направленные [ORGANIZATION] письмом от [DATE_TIME] No [DOCUMENT_NUMBER] и экспертиза [FINANCIAL_DATA], выполненная [ORGANIZATION] и представленная письмом от [DATE_TIME] No [DOCUMENT_NUMBER]. Результаты рассмотрения всех материалов, поступивших от [ORGANIZATION], [ORGANIZATION] и [OPERATOR] специалистами [ORGANIZATION] представлены в приложении No 2. Сообщаю Вам, что на текущий момент от [ORGANIZATION] и [OPERATOR] в адрес [ORGANIZATION] не представлены [FINANCIAL_DATA], учитывающие предложения [OPERATOR], расчеты технико-экономических показателей разработки месторождения по предлагаемым [OPERATOR] предложениям, обосновывающие материалы по замечаниям [ORGANIZATION]. Также необходимо отметить, что согласно резолюции Председателя Правления [ORGANIZATION] от [DATE_TIME] No [DOCUMENT_NUMBER] (далее - [RESOLUTION]) [OPERATOR] определен как единственный контрагент по оказанию услуг по добыче и подготовке нефти на нефтяных оторочках месторождений [ORGANIZATION] (далее - [RESOLUTION]). Решениями протокола [ORGANIZATION] от [DATE_TIME] No [DOCUMENT_NUMBER] (далее - [PROTOCOL]) было согласовано [OPERATOR] строительство шести газовых скважин в блоке Юж II-4 на двух кустовых площадках с целью увеличения рентабельности разработки нефтяных оторочек Хамакинского горизонта. В настоящее время [OPERATOR] пробурено семь газовых скважин на кустовых площадках 1Г и 2Г и не реализованы проектные решения по добыче нефти, что противоречит решениям [PROTOCOL]. Необходимо отметить, что: - на текущую дату не начата разработка нефтяных оторочек Хамакинского горизонта (начало добычи нефти по хамакинскому горизонту согласно ДТСР 2022 было запланировано в 2023 году); - в [ORGANIZATION] отсутствует информация по планам разработки [OPERATOR] нефтяных оторочек южной части [OBJECT] в проектные сроки. Все предложения [OPERATOR] связаны со смещением сроков разработки нефтяных оторочек вправо и с разработкой газоконденсатных залежей [OBJECT], что противоречит [RESOLUTION] и решениям [PROTOCOL]. В соответствии с вышеизложенным сообщаю, что до предоставления вышеуказанной информации и материалов [ORGANIZATION] не может вынужденную экспертизу представленных [OPERATOR] предложениям для включения в новый проектный документ на разработку [OBJECT], и прошу Вас поручить: 1. [ORGANIZATION] и [OPERATOR] в кратчайшие сроки предоставить в [ORGANIZATION] и [ORGANIZATION] исчерпывающую информацию и материалы по вышеуказанным замечаниям для принятия решения по использованию технических предложений в составе нового проектного документа; 2. [OPERATOR] сформировать, согласовать с [ORGANIZATION] и представить на рассмотрение в [ORGANIZATION] и [ORGANIZATION] программу разработки нефтяных оторочек южной части [OBJECT] для включения в разрабатываемый проект разработки [OBJECT]; 3. [OPERATOR] рассматривать разработку газоконденсатных залежей [OBJECT] как опцию для повышения рентабельности разработки нефтяных оторочек исключительно при отсутствии планов возобновления данных залежей в кратко, средние и долгосрочные планах [ORGANIZATION]; 4. [ORGANIZATION] и [OPERATOR] обеспечить согласование с [ORGANIZATION] всех материалов касающихся разведки и разработки [OBJECT] до предоставления в [ORGANIZATION]; 5. [ORGANIZATION] обеспечить прохождение в ЦКР Роснедр по УВС актуализированного проектного документа по разработке [OBJECT] в [DATE_TIME]. На Ваше решение. Приложение: 1. Копия письма [ORGANIZATION] от [DATE_TIME] No [DOCUMENT_NUMBER] на [NUMBER] л. в 1 экз.; 2. Пояснительная записка на [NUMBER] л. в 1 экз.; 3. Скан-копия письма [ORGANIZATION] от [DATE_TIME] No [DOCUMENT_NUMBER] на [NUMBER] л. в 1 экз.; 4. в 1 экз.; 5. в 1 экз.; [DOCUMENT_NUMBER] [DOCUMENT_NUMBER] [DOCUMENT_NUMBER] [DOCUMENT_NUMBER] [DOCUMENT_NUMBER] [DOCUMENT_NUMBER] ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат: [ID] Владелец: [PERSON] Действителен: с [DATE_TIME] по [DATE_TIME]"
Блок директора по проектированию,"АКЦИОН / ГЕНЕРАЛЬНАЯ ДИРЕКТОР ПО ГЕОКАРИЗИИ, исследовательской деятельности - директору [ЛОТТЕР] и главному конструктору - директору [OCURMBER], стр-во (г. NUMBERE), по адресу ""Ter ADES: RUMBER, юж. терр. ТКМЕР, ПИТЕР"", стр-во (www.pirson).

Мы рассмотрели предложение от [DOCUMENT_NUMBER] и сообщение о готовности выполнить три вида поисков воды в пределах разработки нефтяных скважин в составе: анализа, интерпретации, анализа и анализа материалов полевых и лабораторно-технологических работ, оценки производительности нефтяных скважин, оценки производительности проектных скважин и предложений по поиску воды. Бухгалтерская деятельность [FINANCIAL_DATA] (в том числе НДС ""NUMBER"").","[ORGANIZATION] [ORGANIZATION] – [ORGANIZATION] ([ORGANIZATION]) ЗАМЕСТИТЕЛЬ ГЕНЕРАЛЬНОГО ДИРЕКТОРА Директору по геологии и разработке, концептуальному проектированию – главному геологу [ORGANIZATION] [PERSON] пр-кт [LOCATION], д. [NUMBER], литер [LETTER], помещ. [NUMBER], офис [NUMBER], вн. тер. [LOCATION], [DATE_TIME] тел.: [CONTACT] e-mail: [CONTACT], http://[DOMAIN] [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] о [ACTION] Уважаемый [PERSON]! [ORGANIZATION] рассмотрело предложение от [DATE_TIME] No [DOCUMENT_NUMBER] и сообщаем о готовности выполнить камеральные работы по поиску пресных и минерализованных подземных вод в пределах разработки нефтяных оторочек на [LOCATION] и [LOCATION] в части: сбора информации по геолого-гидрогеологическим условиям работ, интерпретации и анализа материалов полевых и лабораторных работ, оценки производительности проектных водозаборных скважин и формированию предложений по поиску воды. Создание 3Д гидрогеологической модели не представляется возможным в виду отсутствия необходимой информации в достаточном объеме. Работы могут быть выполнены в рамках договорных отношений в [DATE_TIME]. Стоимость работ составит [FINANCIAL_DATA] (в том числе НДС [NUMBER]). Заместитель Генерального директора по науке [PERSON] [PERSON] [CONTACT] ([CONTACT])"
Блок директора по проектированию,"Опросы: [ФИД] (Акт приема на хранение от ""Ректории: Добавим [DOCUMENT NUMBER"" или ""Декларативов"": Добавляем [DOCUMENT NUMBER] в [PERSON], из которых черпается геологическая информация о недрах [АрИОН], данные по ""ДАЗУМБЕР"") включены в ""ДОПТ """" [АТСТЕТА"") от","[ORGANIZATION] [LOCATION] [CONTACT] [WEBSITE] [CONTACT] [DATE_TIME] [DOCUMENT_NUMBER] на [DATE_TIME] [ORGANIZATION] [LOCATION] [DOCUMENT_NUMBER] ИЗВЕЩЕНИЕ [DOCUMENT_NUMBER] о принятии на хранение и о результатах проверки поступившей в [ORGANIZATION] геологической информации о недрах Государственный регистрационный номер: [ID] Лицензия: [ID] Наименование: [DESCRIPTION] Инв.No отчета: [DOCUMENT_NUMBER] Входящий [ORGANIZATION] от [DATE_TIME] [DOCUMENT_NUMBER]. По результатам [NUMBER]-й проверки, поступившая геологическая информация о недрах [ACTION] на постоянное хранение в [ORGANIZATION]. Руководитель [PERSON] [PERSON] Тел: [CONTACT]"
"Проект ""Новая нефть""","По объекту [OCUMENT_NUMBER] ""ОБЕРСОН"" ""ВИТА"" ""ВИТА"" я отправляю следующую документацию по блоку ЭА и САУ (OBCIT) ([DOCUMENT_NUMBER"") ""И1"": Программа и методика испытаний на заводе изготовителе ""ВИ"" ППМ1: - программа и метод испытания на компрессорном заводе [ОФЕРТ”); - программа и методика анализа блоков ""Н"".

Приложения: Программа и методика испытаний на заводе-изготовителе [ДКОСОБТ-NUMBER] PM1; инструкция по эксплуатации блока ""DOCUMENT NEMBER"" [PERSON] PM1; Инструкция по приемке и хранению блока [PERSON] И1. No ""DWH"" / ID.","[ORGANIZATION] [ORGANIZATION] [LOCATION] [CONTACT] [DATE_TIME] [DOCUMENT_NUMBER] [PERSON] [CONTACT] [PERSON] [CONTACT] [OBJECT] Уважаемый [PERSON]! Уважаемый [PERSON]! По объекту [OBJECT] направляю Вам следующую документацию на блок ЭС и САУ ([DOCUMENT_NUMBER]): - Программа и методика испытаний на заводе-изготовителе [DOCUMENT_NUMBER] ПМ; - Программа и методика испытаний на компрессорной станции [DOCUMENT_NUMBER] ПМ1; - Инструкция по транспортировке и хранению блока [DOCUMENT_NUMBER] И1. Прошу Вас рассмотреть и, при отсутствии замечаний, согласовать указанные документы. Приложения: - Программа и методика испытаний на заводе-изготовителе [DOCUMENT_NUMBER] ПМ; - Программа и методика испытаний на компрессорной станции [DOCUMENT_NUMBER] ПМ1; - Инструкция по транспортировке и хранению блока [DOCUMENT_NUMBER] И1. [PERSON] [PERSON] [CONTACT] Лист 1 Листов 1 Вх. No [ID] от [DATE_TIME]"
"Проект ""Новая нефть""","В ответ на запрос от [DOCUMENT INTE] от [DENTACT], E-mail: ""SCONTACT, ОКПО [ID] ""(допущение / регистрация / регистрация]], почтовый адрес: [DOCUMENT NUMBER"" (допущение / подпись) по номеру ""ВНИЗА)"" """" (допуск к строительству нефтепровода ""НОБОФРСОН"") - 2.1.

Исходным положением для выполнения строительно-монтажных работ является то, что ""ПРОЕКТ"" не содержит номера пролетов опоры трубопровода (УЗО) на подземной ветке, но при этом необходимо обеспечить доступ персонала и механизмов в зону работы ВЛ 10 кВ. Работу в защитной зоне ВЛ требует согласования с представителем собственника газопровода; Рабочие в зоне работы должны производиться только с участием представителя собственника;

Генеральный директор ООО ""PERSON"" (ISS) (добавил, доб.) Испано-норвежская компания ""PERSON"" (ISS) (добав., доб., доб., доб., ID) [PERSON] (CON)","[ORGANIZATION] Адрес: [LOCATION] Телефон: [CONTACT] (доб. [ID]), факс: [CONTACT], e-mail: [CONTACT] ОКПО [ID], ОГРН [ID], ИНН [ID]/КПП [ID] от [DATE_TIME] No [DOCUMENT_NUMBER] на No [DOCUMENT_NUMBER] от [DATE_TIME] Исполнительному директору [PERSON] [ORGANIZATION] [PERSON] О согласовании проектных решений [CONTACT] Уважаемый [PERSON]! В ответ на Ваш запрос от [DATE_TIME] No [DOCUMENT_NUMBER] направляю замечания к проектным решениям пересечений напорным нефтепроводом [OBJECT] [OBJECT] действующих коммуникаций [ORGANIZATION], 1. Чертеж [DOCUMENT_NUMBER]: Не указано расстояние от нефтепровода до фундамента опоры No[NUMBER]. Расстояние принять согласно п.2.5.288 (табл.[DATE_TIME]) ПУЭ. 2. Чертеж [DOCUMENT_NUMBER]: 2.1. Не указаны номера пролета опор в месте пересечения нефтепровода с ВЛ 10 кВ. 2.2. Не указано расстояние от нефтепровода до фундамента опоры ВЛ 10 кВ. 2.3. Не указан габарит от полотна проектируемой автодороги на УЗА No[NUMBER] до нижнего провода существующей ВЛ 10 кВ. Габарит принять согласно п.2.5.228 (табл. [DATE_TIME]) ПУЭ. Обращаю Ваше внимание, что перед выполнением строительно-монтажных работ требуется: * согласовать с [ORGANIZATION] проект производства работ и мероприятия, обеспечивающие безопасное производство строительно-монтажных работ подземного пересечения действующего трубопровода; * получить наряд-допуск на работы в охранной зоне, действующей ВЛ; * получить разрешение и наряд допуск на производство работ в охранной зоне нефтепровода [ORGANIZATION]; * обеспечить прохождение техническим персоналом инструктажа по технике безопасности при выполнении работ в охранной зоне, действующей ВЛ; Работы в охранных зонах ВЛ и нефтепровода требуется производить только в присутствии представителя эксплуатации [ORGANIZATION], под непосредственным руководством инженерно-технического работника, ответственного за безопасность производства работ; Проход персонала и проезд механизмов в пределах охранной зоны ВЛ осуществлять в сопровождении уполномоченного представителя [ORGANIZATION]. Генеральный директор Исп [PERSON] [PERSON] ([CONTACT]) (доб.[ID]) Исп. [PERSON] [PERSON] ([CONTACT]) (доб.[ID]) [PERSON]"
"Проект ""Новая нефть""","Здравствуй, ""ТЕРСОН""! В рамках проектирования и поставки труб (ТТ No CONTAL_NUMBER) и поставок патрубков для объекта ""ОКЕАНСОН"" [ФОНТАНКОСТЕР] из [DOCUMENT_NUMBER], просим вас направить нам на рассмотрение предварительное обоснование расположения трубопроводов НД и ВД, с указанием массы заготовительных узлов.

Усилия и перемещение в узлах (согласно чертежу в приложении), перемещение и перемещение в устройствах: Сила, сила, параметры, (кгс) перемещение, (кгс) перемещение, (мм) перемещение (мм) .","[ORGANIZATION] [ORGANIZATION] [LOCATION] Телефон/факс: [CONTACT] [ORGANIZATION] [PERSON] [CONTACT] [PERSON] Уважаемый [PERSON]! В рамках проектирования, изготовления и поставки агрегатов [FINANCIAL_DATA] для объекта [OBJECT] (ТТ No [DOCUMENT_NUMBER] от [DATE_TIME]), направляем в Ваш адрес предварительный эскиз расположения патрубков, с указанием массо-габаритных характеристик участков трубопроводов, для учета при выполнении расчета усилий от газовой обвязки, передающихся на фланцы компрессорной установки. Дополнительно сообщаем, что фактические величины нагрузок не должны приводить к отрыву лап компрессоров НД и ВД от фундаментной рамы и превышать значения указанные в таблице 5 документа [DOCUMENT_NUMBER] Д1. По результатам проведенных расчетов, просим сообщить нагрузки и перемещения в опорах No1 - No6 (согласно эскиза в приложении) по форме: Нагрузки и перемещения в креплениях (Наибольшие значения): Узел Оси Рабочее состояние Холодное состояние при испытанияхСилы, (кгс) Моменты, (кгссм) Перемещения, (мм) Силы, (кгс) Моменты, (кгссм) Перемещения, (мм) опора No1 X Y Z Приложение: [DOCUMENT_NUMBER] Э Эскиз расположения патрубков. Главный конструктор ГЭО [PERSON] Исп. [PERSON] тел. [CONTACT]"
"Проект ""Новая нефть""","По представленному варианту предварительной проработки трассы газопровода [PERSON] (далее ""Предприятие), в месте пересечения с нефтегазопроводом [ОБЭКТ-AREA"", который соответствует проекту, необходимо принять возражения и предложения по улучшению его прокладки в местах пересечения и в охранных зонах коммуникаций ""Органия"".

Согласно этому, Общество рекомендует пересмотреть и оформить проект по прокладке трассы объекта, используя замечания и предложения Общества. * ""Доклад по направлению в проектирование:"" - в одной из следующих брошюр: Письмо-предложение от ""ОРГАНИЯ"" [КОНЬ] No ""Проект-намбе'р"".

Номер П/П, лист, чертеж, шифры, чертежи В плане проектируемых нефтепроводов (ППР, ""PROGINA"" в соответствии с п. 5 Технических требований) нет отметки о перекрытии и параллельном пути объекта.

шифр, лист, пункт, чертеж Предложение (по согласованию) - No 10.1 Технических условий При пересечении проектируемого нефтепровода с автодорогой (10) предусмотрена установка защитного футляра длиной 20 метров на проектируемый трубопровод (10), ширина которого составляет 10 метров.","[ORGANIZATION] [LOCATION] Тел.: ([PHONE]), ([PHONE]) Факс: ([PHONE]), ([PHONE]) [DATE_TIME] No [DOCUMENT_NUMBER] Исполнительному директору Проекта [OBJECT] [PERSON] На [DOCUMENT_NUMBER] от [DATE_TIME] Уважаемый [PERSON]! [ORGANIZATION] (далее – Общество), рассмотрев предложенный вариант предварительного продольного профиля трассы проектируемого нефтепровода от УПН [LICENSED_AREA] до ПСП [NPS_AREA] (далее – Объект) в местах пересечений и в охранных зонах коммуникаций Общества, отказывает в его согласовании и направляет на рассмотрение замечания и предложения [ORGANIZATION] ([ATTACHMENT]) по его корректировке. Кроме того, в представленных материалах выход бура предусмотрен между газопроводом [GAS_PIPELINE] и нефтепроводом [ORGANIZATION], в связи с этим при корректировке документации необходимо предусмотреть выход бура за границами охранных зон коридоров коммуникаций Общества. Учитывая изложенное, Общество предлагает скорректировать продольный профиль прокладки трассы Объекта с учетом замечаний Общества и представить его на повторное рассмотрение и согласование. Приложение: на 1 л. в 1 экз. Главный инженер – первый заместитель генерального директора [PERSON] [PERSON] [PHONE] Приложение к письму [ORGANIZATION] от [DATE_TIME] No [DOCUMENT_NUMBER] Замечания и предложения [ORGANIZATION] к продольному профилю проектируемого объекта [PROJECT_NAME]. Напорный нефтепровод от УПН [LICENSED_AREA] до ПСП [NPS_AREA] по проектированию пересечений и параллельного следования объекта с коммуникациями, прилегающими к [ORGANIZATION] No п/п Номер шифра, листа, пункта, чертежа Замечания и предложения 1 Пункт 3 технических условий В профиле проектируемого нефтепровода [ORGANIZATION] не указаны нефтегазопроводы перспективного проектирования [ORGANIZATION] (позиции 5, 7 в приложении 1 к техническим условиям) и не предусмотрены защитные фугляры в местах их пересечений Замечания и предложения [ORGANIZATION] к топографическим планам проектируемых объектов [PROJECT_NAME]. Приемо-сдаточный пункт и [PROJECT_NAME]. Напорный нефтепровод. Участок No1 по проектированию пересечений и параллельного следования объектов с коммуникациями, прилегающими к [ORGANIZATION] No п/п Номер шифра, листа, пункта, чертежа Замечания и предложения 1 Пункт 10.1 технических условий При пересечении проектируемого нефтепровода с автодорогой (10) предусмотрена установка защитного футляра длиной 20 м на проектируемый нефтепровод (ширина автодороги составляет 10 м) Инициатор замечания предложение [PERSON], [PHONE]"
"Проект ""Новая нефть""","[DOCUMENT_NUMBERS] SGoliin e-mail: [PERSON] Письмо No ""ДАНТАКТ"" от [ORGANI', (OBJECT) Отправленное Вами письмо No ""OBJECT"" от ""ПЕРСОН"", письмо от [PERSON's GALOVIN] по поводу рассмотрения расчета расходных устройств антипульмонологии"" [PERSON'': *.

СТО ""ФИНАНЦИАЛА-ДАТА] Интерпретированный производственный стандарт соответствует ISO 9001, ISO 14001, ISO 45001 ВХ. No [DOCUMENT NUMBER] .","[ORGANIZATION] [LOCATION] Тел.: [CONTACT] Факс: [CONTACT] [CONTACT] www.[ORGANIZATION] [ID] [DOCUMENT_NUMBER] К [PERSON] [PERSON] e-mail: [CONTACT] Копия: [PERSON] [PERSON] e-mail: [CONTACT] Начальнику Управления приведения закупочных решений [ORGANIZATION] [PERSON] Голубину e-mail: [CONTACT] Согласование расчетов расходомерных устройств [OBJECT] [PERSON] Уважаемый [PERSON]! В ответ на Ваше письмо No [DOCUMENT_NUMBER] от [DATE_TIME] касательно рассмотрения поверочных расчетов расходомерных устройств антиповреждной защиты [OBJECT] сообщаем, что расчеты рассмотрены, замечаний к расчетам нет. Заместитель управляющего директора по управлению проектами [PERSON] Исп: Ведущий инженер-конструктор [PERSON] тел.: [CONTACT] доб.[CONTACT] Email: [CONTACT] [ORGANIZATION] СТО [ORGANIZATION] [FINANCIAL_DATA] Интерпретированная система менеджмента сертифицирована на соответствие ISO 9001, ISO 14001, ISO 45001 Вх. No [DOCUMENT_NUMBER] от [DATE_TIME]"
