label,pivot_lang,translated,original
"Проект ""Новая нефть""",eng_Latn,"[ОБСТАВЛЕНИЕ] [МОСТОВО] [ДОКУМЕНТ_Тайм] [НОМЕР] [ЛЮДИ] [ЛЮДИ] [ЛЮДИ] Уважаемый [Люди]! в рамках реализации объекта [ОБ'екта] мы отправляем вам исходные данные (рисунок сборки) на динамическом обморочном арматуре (пример 52-Ch127). пожалуйста, ознакомьтесь и согласитесь с прилагаемой документацией, либо отправьте свои комментарии Приложение - [Документ_НОМЕР] [ОБ'ект] Главный [ОБ'ект] [Люди] Испанский: [Люди] Телефонный дизайнер [КОНТАК]","[ORGANIZATION] [LOCATION] [DATE_TIME] [DOCUMENT_NUMBER] [PERSON] [PERSON] Уважаемый [PERSON]! В рамках реализации объекта [OBJECT] направляем в Ваш адрес исходные данные (сборочный чертеж) на арматуру динамического байпаса (поз. 52-КШ127). Просим Вас рассмотреть и согласовать прилагаемую документацию, либо направить Ваши замечания Приложение - [DOCUMENT_NUMBER] [OBJECT] Главный конструктор [ORGANIZATION] [PERSON] Исп.: [PERSON] Тел.[CONTACT]"
Блок заместителя генерального директора по имуществу,eng_Latn,"Уважаемая [ЛЮДЬ] В ответ на вашу заявку от [ДАТА_ВРЕМЕНИ] нет [ДОКУМЕНТ_НУМБР] Я хотел бы сообщить вам, что [ОГАНИЗАЦИЯ] заключила договор аренды помещений общей площадью [ФИНАНЦИАЛЬНЫЕ ПОДВИДЯ_] квадратных метров для офисного размещения.Решение вышеуказанного контракта было отправлено на адрес электронной почты: [КОНТАКТ].С учетом особенностей электронного документооборота [ОГАНИЗАЦИЯ] (отсутствие возможности подписать этот документ) направляется запрос Совету, чтобы в короткие сроки отправить согласованный договор на подписание генеральному менеджеру [ОГАНИЗАЦИИИ] [Люди] [ГОРПЕРСОН] по вопросам размещения.","[ORGANIZATION] [LOCATION] [CONTACT] [DATE_TIME] No [DOCUMENT_NUMBER] [OBJECT] на [DOCUMENT_NUMBER] от [ORGANIZATION] направлении договора Уважаемая [PERSON]! В ответ на Ваше обращение от [DATE_TIME] No [DOCUMENT_NUMBER] уведомляю, что [ORGANIZATION] согласован договор аренды помещений общей площадью [FINANCIAL_DATA] кв. м под размещение офиса. Проект вышеуказанного договора направлен на адреса электронной почты: [CONTACT]. Учитывая специфику электронного документооборота [ORGANIZATION] (отсутствие возможности подписать входящий документ), прошу в возможно короткий срок направить согласованный договор аренды на подписание в [ORGANIZATION]. Заместитель генерального директора по общим вопросам [PERSON] [PERSON] ([CONTACT])"
Блок заместителя генерального директора по имуществу,eng_Latn,"В зависимости от [ДАТА_ВРЕМЯ] объекта в [ЛОКАЦИЙ], мы сообщаем вам, что по состоянию на [ДАТА_ВРЕМЯ] основные активы [ОРГАНИЗАЦИЯ] включают: * [ДАТА_ВРЕМЯ] главных объектов [ОРГАНИЗАЦИЯ]: * [ДАТА_ВРЕМЯ] объекта [ОРГАНИЗАЦИЯ]: * [ДАТА_ВРЕМЯ] основных активов [ОРГАНИЗАЦИЯ]: * [ДАТА_ВРЕМЯ] основных активов [ОРГАНИЗАЦИЯ]: * [ДАТА_ВРЕМЯ] основных активов [ОРГАНИЗАЦИЯ]: * [ДАТА_ВРЕМЕ] основных активов [ОРГАНИЗАЦИЯ]: * [ДАТА_ВРЕМИ] основных активов [ОРГАНИЗАЦИЯ]: * [ОРГАНИЗАЦИЯ] основных активов [ОРГАНИЗАЦИЗАЦИЯ]. * [ОГАНИЗАЦИЗАЦИЗАЦИАЦИЯ] [ОГАНИЗАЦИЗАЦИЯ] СобъЯ - лицо объекта, расположенное на объекте на объекте, являщемся в объекте строительной зоне, а также объект, [ОГАНИЗОЗАЦИЗАЦИЗАЦИЯ] - это объект, в случае наличия такого положения, [/предвидение] или имеющий возможность передачи[вшего/положения и/не права, или других возможностей и условия, а также в отношении объектаго, который выдвигающие в договоре, и следующие после этого проекта. [ОГАНИзозна] [ОАЖИ несут] (и] и другими и в этом случае, в случае, имея вопрос о прось [ГОГОГОГОИСТИКТО: [З] [[А]о (ВРГО НА] [ОГИЗАЭНЗАЛИЖИДАНИЕ ОС] - [[ГИИЗ]О] - ИОО] [ГО]] - ИЗ [Е].ОЙ] [А] и [О]] [О.","Заместителю генерального директора по правовым и имущественным вопросам [ORGANIZATION] [PERSON] Уважаемая [PERSON]! Рассмотрев обращение от [DATE_TIME] No [DOCUMENT_NUMBER] Об аренде объектов [OBJECT] на [LOCATION], сообщаем, что по состоянию на [DATE_TIME] объекты основных средств [ORGANIZATION]: * Общежитие No 3 (инв. No [ID]); * Общежитие No 5 (инв. No [ID]), расположенные на территории [OBJECT], находятся в эксплуатации и переданы во временное пользование по договору субаренды имущества [ORGANIZATION] (далее - Субарендатор). Срок субаренды: с [DATE_TIME] по [DATE_TIME]. В дальнейшем передача данных объектов в субаренду [ORGANIZATION] возможна в случае отказа Субарендатора от пролонгации договорных отношений либо достижения письменных договоренностей между Субарендатором и [ORGANIZATION]. Объект основных средств [ORGANIZATION] Административно-бытовой корпус [OBJECT] на [LOCATION] (инв. No [ID]) по распоряжению собственника имущества - [ORGANIZATION] переведен в режим консервации. [ORGANIZATION] готово рассмотреть возможность передачи его в субаренду в установленном порядке после проведения работ по расконсервации объекта при условии самостоятельного содержания зданий, объектов инженерной инфраструктуры (сетей) и прилегающей к ним территории силами [ORGANIZATION]. Просим подтвердить готовность принять объекты на указанных условиях в субаренду с [DATE_TIME] для организации работ по расконсервации объекта Административно-бытовой корпус [OBJECT] на [LOCATION] и последующей подготовки проектов договорных документов. Генеральный директор [PERSON] Не удалять [PERSON] [CONTACT]"
"Проект ""Восточный""",eng_Latn,"КОНТАКТЬ, ФАКС: [КОНТАКТ] электронная почта: [КОНТАКТ] [КОНТАКТ] www[Организация] OKPO [ID], [ДОКУМЕНТ_НУМБРЬ], INN [ID] KPP [ID] [ДАТЬ_ВРЕМЯ] Нет [ДОКУМЕНТ_НУМБРЬ] по СОГЛАШЕНИЮ относительно уплаты налогов и сборов No [ДОКУМЕНТ_НУМБРЬ]/No [ДОКУМЕНТ_НЮМБРЬ]/NO [ДАТЬ_НУМБРЬ] в рамках действующего контракта по оказанию услуг по получению, подготовке и транспортировке сырой нефти, Вы подписали и подписали Договор государственной инспекции за счет производства нефти. [ДОВКУМЕНТ_НУМБРЕМНО] [ДОВКУМБРЕМ] [ДОВКУМБРЕМЕНТ] [ДОВКУМБРЕМ] [ДИМЕСПРЫ] [ДОВКУМЕНТИ] Вы должны предоставить электронные доказательства своего предложения. [ДВЕЙМАТЬ] [ДОВКОНЦ] [DОВКАЙ МЕМЕМЕТЬ] [ДОРУ РОСТИМЭЙО] [ДОДО [ДО КОКОМЕНЦЕННА] [ДОВКОНЗАИИЙ НАСТРЫ] [РИМОСТАИА[К] [ДАМАТАТЕЛЬ [О] [ДОКОНЕРБЫЙ ПАРТРИЯ ВЕСИЯ И БИЦИТЕНННТЕ]","[ORGANIZATION] [LOCATION] Тел.: [CONTACT], факс: [CONTACT] e-mail: [CONTACT] www.[ORGANIZATION] ОКПО [ID], ОГРН [DOCUMENT_NUMBER], ИНН [ID] КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [DATE_TIME] по [FINANCIAL_DATA] Уважаемый [PERSON]! В соответствии с соглашением об уплате налогов и сборов No [DOCUMENT_NUMBER]/No[DOCUMENT_NUMBER]/[DOCUMENT_NUMBER]/P от [DATE_TIME] в рамках действующего договора на оказание услуг по добыче, подготовке и транспортировке углеводородного сырья на неоком-юрских залежах [OBJECT] сообщаем Вам, что сумма исчисленного налога на добычу полезных ископаемых за [MONTH] [YEAR] составила [FINANCIAL_DATA] рублей. Начальник [LOCATION] нефтегазодобывающего управления [PERSON] Документ подписан электронной подписью Сертификат [ID] Владелец [PERSON] [PERSON] Действителен с [DATE_TIME] по [DATE_TIME] Доверенность No [DOCUMENT_NUMBER] [PERSON] ([CONTACT]) от [DATE_TIME] No [DOCUMENT_NUMBER] Bx. No [DOCUMENT_NUMBER] от [DATE_TIME]"
"Проект ""Восточный""",eng_Latn,"[КОНТАКТ], тел.: [Контакт], факс: [КОНТАКТ], телекс: [КОНТАКТ] электронная почта: [Контакт], www [ORGANIZATION] OKPO [ID], [OGRN [ID], INN [ID], KPP [DATE_TIME] [DATE_TIME] [DOCUMENT_NUMBER] No [Document_Number] на приложение No от [ПЕРСОН] [PERSON] No к генеральному менеджеру [NOTA] [NOTA] No к заместителю генерального менеджера [MOGENERAL NUMBER] No к заместителю генерального менеджера основных должностей в группе управляющих директоров [KONTACT] [GENERAL NUMBER] [GENERAL NUMBER] [GENERAL NUMBER] [ENOROPENTOOR] [GENOROR_COUNTERPENTER] [NOTA] [NOTA] Она также сообщает результаты консультаций с официальными органами в соответствии с соглашением, которое заключили делегаты [GENOR_COUNTERPENTER] [COUNTERPENTERPENTER] и другие органы (Официальный документ - передачики данных]] [COUNTERPENTERPENTERPENTERPENTERO] и [O] [GO_CORE].","[ORGANIZATION] Публичное акционерное общество [ORGANIZATION] ([ORGANIZATION]) Адрес для почтовой корреспонденции: БОКС No [ID], [LOCATION] Юридический адрес: [LOCATION] тел.: [CONTACT], факс: [CONTACT], телекс: [CONTACT] e-mail: [CONTACT], www.[ORGANIZATION] ОКПО [ID], ОГРН [ID], ИНН [ID], КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [PERSON] [ORGANIZATION] [PERSON] Генеральному директору [ORGANIZATION] [PERSON] Заместителю генерального директора главному геологу [ORGANIZATION] [PERSON] О передаче информации Уважаемые коллеги! По результатам рассмотрения обращений [ORGANIZATION] от [DATE_TIME] No [DOCUMENT_NUMBER] и от [DATE_TIME] No [DOCUMENT_NUMBER], а также учитывая отсутствие договорных отношений между [ORGANIZATION] и [ORGANIZATION], [ORGANIZATION] ( [PERSON] ) согласовывает передачу геологической информации по [OBJECT] в [ORGANIZATION] в соответствии с позицией [ORGANIZATION], направленной в [ORGANIZATION] письмом от [DATE_TIME] No [DOCUMENT_NUMBER]. Прошу [ORGANIZATION] и [ORGANIZATION] организовать работу в установленном порядке. Приложение: на [FINANCIAL_DATA] л. Заместитель начальника [ORGANIZATION] [PERSON] ([CONTACT]) [DATE_TIME] No [DOCUMENT_NUMBER]"
"Проект ""Южный""",eng_Latn,"ООО [ООН] petroleum company limited liability [ООН]-[ТОЧНИК] (OOO [ОРГАНИЗАЦИЯ]-[ТОЧНИК]) техническому директору [ОРГАНИЗАЦИЯ]-[ТОЧНИК] [Любое лицо] [НОВОЙ] курьерский адрес: [МЕСТО] телефон: [контакт]; электронная почта: [контакт], www [Организации] ОК [ID], ОК [документ], ОК [документ], ОК [ID] Дорогой [Любое лицо] Пожалуйста, подумайте о том, чтобы участвовать в текущих производственных мероприятиях [ОДИ] OOO к техническому директору танкового оборудования парка, предназначенного для хранения нефтяных продуктов и технических жидкостей (КОНТАСТ): Ниже приводится электронное письмо: Следующее адресует список транспортных средств, содержащихся в главной производственной мощности [Включает техническое состояние [ЗАЙНОВАНИЕЕИЯ] Инженера, Вы можете быть связаны посредством электронной почты [ВЕЛЬКОНИТАК] с названием всей технической аппаратуры в теплици [З] (авторго [ЦЕНТАЧНОВАК] и все техническое оборудование [МЕМЕКОНИЕ].","[ORGANIZATION] нефть Общество с ограниченной ответственностью [ORGANIZATION]-[OBJECT] (ООО [ORGANIZATION]-[OBJECT]) Техническому директору ООО [ORGANIZATION]-[OBJECT] [PERSON] Адрес для корреспонденции: [LOCATION] тел.: [CONTACT]; e-mail: [CONTACT], www.[ORGANIZATION] ОКПО [ID], ОГРН [DOCUMENT_NUMBER], ИНН [ID] Уважаемый [PERSON]! Просим Вас рассмотреть возможность вовлечения в текущую производственную деятельность ООО [ORGANIZATION]-[OBJECT] оборудования резервуарного парка, предназначенного для хранения нефтепродуктов и технической жидкости (полевые склады на базе полимерных эластичных резервуаров). Количество и состояние оборудования указанно в приложении No1 к данному письму. Оборудование находится на складе ООО [ORGANIZATION]-[SNAB] в г. [LOCATION]. По всем техническим вопросам прошу обращаться к главному механику ООО [ORGANIZATION]-[OBJECT] - [PERSON]. О своем решении просим сообщить в срок до [DATE_TIME] Приложение: 1. Перечень оборудования ПСГ и ПСТВ. С уважением, Заместитель генерального директора по производству – Главный инженер [PERSON] [PERSON] ([CONTACT]) ООО [ORGANIZATION]-[OBJECT]"
"Проект ""Южный""",eng_Latn,"Для того чтобы удовлетворить потребности [КАСТИ] в летнее время [ДАТА_ЗДЕЙНАНИЕ] планируется проведение конкурса на приобретение гидроэлектрического песка объемом [ФИНАНЦИАЛЬНЫЕ_ДАННЫЕ] м3 для [ОБЕЦ]. пожалуйста, рассмотрите возможность подготовки необходимого количества почвы, а также участие в проведении тендерной процедуры. в случае положительного решения, пожалуйста, отправьте нашему адресу предложение по техническому номеру с учетом транспортных затрат до доставки: [LITE], [TOOOVERESTE], [CONTERSTERS], [COUNTERS], [CONTERS] [LINE] [KINTER], [CONTERSON], [NOTE].","[ORGANIZATION] Управление материально-технического снабжения и комплектации (УМТСиК) [LOCATION] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] предоставлении информации Уважаемый [PERSON]! В целях обеспечения потребности [ORGANIZATION] в летний период [DATE_TIME], планируется проведение конкурентной закупки песка гидронамывного в объеме [FINANCIAL_DATA] м3 для [OBJECT]. Прошу Вас рассмотреть возможность в заготовки необходимого объема грунта, а также принять участие в проведении конкурсных процедур. При положительном решении, прошу направить в наш адрес технико-коммерческое предложение с учетом транспортных расходов до места поставки: [LOCATION], [OBJECT], [LOCATION]. И.о. начальника управления [PERSON] [PERSON] [CONTACT]"
Блок финансового директора,eng_Latn,"[ЛЮБОВЬ], мы настоящим заключаем договор о предоплате максимальной суммы No [DOCUMENT_CONTINUENTS] с [DATE_TIME], заключаем договор о предоплате максимальной суммы No [DOCUMENT_CONTINUENTS] с [DATE_TIME], заключаем договор о предоплате максимальной суммы No [DATE_DATA_TIME], заключаем договор о предоплате максимальной суммы No [DATA_DATA_TIME], заключаем договор о предоплате максимальной суммы [DATA_DATA_TIME] с [Data_DATA_Data_TIME] с даты, указанной в данном договоре, заключаем договор о предоплате минимальной суммы No [DOCUMENT_CONTINUENTS] с [DATE_DATA_DATA_DATA_TIME] с [DATE_DATA_TIME], заключаем договор о предоплате максимальной суммы [DATA_DATA_PERSON], заключаем договор о предоплате максимальной суммы No [DATA_DATA_DATA_TIME] с [DATE_TIME], заключаем договор о предоплате максимальной суммы [DOCUMENT_DATA_CONTINUENTS] с [DATE_TIME], заключаем договор о предоплате [DATE_COUNTIME], завершаем договор о предоплате все суммы [OPPOPPOPPONATION] [OPPONON], заключим контракт [OPPONOPPONOPPONONPONITIONONAL NOTIONO] за 10 дней после завершения контракта, до 30 дней до [OPPONTIONOMINATION] [OPPONTIONO[OPPONO] [OPPONTIONO], до 30 [O] [OPPONTIMIONO] [OPPON] 30 дней [O]] [O] [OPPON] [O] [O] [OPPO] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] ] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O]] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O]] [O] [O] [O] [O] [O]] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O]] [O] [O][O] [O] [O] [O] [O]] [O] [O] [O]] [O] [O] [O] [O] [O] [O] [O] [O] [O]] [O] [O] [O]] [O]] [O][O]] [O] [O]] [O] [O] [O][O] [O]] [O] [O]] [O] [O] [O]] [O] [O] [O] [O] [O] [O] [O] [O] [O] [O]] [O] [O]]]]] [O] [O] [O] [O] [O] [O] [O] [O]] [O] [O] [O] [O] [O] [O] [O] [O] [O][O] [O] [O][O] [O] [O] [O]] [O] [O][O] [O] [O] [O]] [O] [O][O] [O] [O]] [O

Ооооооооооооооо [о-ооо-о], у нас с ним [у нас] не сходится! [оо-оо] Я выдохнусь, мне не сходить! [о-о] В-третьих, это было лучше, чем у нас, когда я был молодым.","[ORGANIZATION] юридический адрес [LOCATION] ОГРН [ID] ИНН [ID] КПП [ID] Расчетный счет [FINANCIAL_DATA] в [ORGANIZATION] (АО), [LOCATION] к/сч [ID] БИК [ID] Тел. [CONTACT] Email [CONTACT] [ORGANIZATION] [LOCATION] [OBJECT] Иск. No [DOCUMENT_NUMBER] от [DATE_TIME] Письмо о предложении оценки досрочной оплаты. Уважаемая [PERSON], Мы ссылаемся на соглашение о досрочной оплате No [DOCUMENT_NUMBER] от [DATE_TIME], заключенное между [ORGANIZATION] и [ORGANIZATION] (Соглашение о досрочной оплате). В соответствии с соглашением о досрочной оплате и в порядке, установленном в нем, предлагаем Вам согласовать более ранний срок оплаты по счетам: Порядковый номер Дата оплаты Сумма до 30 от суммы контракта Сумма до 50 от суммы контракта Сумма до 70 от суммы контракта Сумма до 100 от суммы контракта Дата оплаты 1 [DATE_TIME] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [DATE_TIME] 2 [DATE_TIME] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [DATE_TIME] 3 [DATE_TIME] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [DATE_TIME] 4 [DATE_TIME] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [DATE_TIME] 5 [DATE_TIME] [FINANCИAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [DATE_TIME] 6 [DATE_TIME] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [DATE_TIME] 7 [DATE_TIME] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [DATE_TIME] 8 [DATE_TIME] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [DATE_TIME] Итого: [FINANCIAL_DATA] Просим Вас подтвердить согласие на досрочную оплату и ближайшие даты оплаты в соответствии с предложением выше, при этом сохраняя все условия контракта. ПОЛНЫЙ САМОВЫПЛАТЫ [ORGANIZATION] /[PERSON]/ [PERSON] С УВЛЕЧЕНИЕМ ДОСРОЧНОЙ ОПЛАТЫ И БОЗНАРПАЖДЕНИЯ СОГЛАШЕНИЯ /[PERSON]/"
Блок финансового директора,eng_Latn,"[ЛИЧНОСТЬ] Мы уведомляем вас о пересылке письма [DocUMENT_NUMBER] от [PERSON] [PERSON] [LOCATION] [DATE_TIME] [ID] с адресом электронной почты: [ADMINISTRATION] [FINANCIAL_DATA], Россия, [Location]. [DATAPERSON] [DATE_TIME] Настоящим мы уведомляем вас о пересылке письма [DOCUMENT_NUMBER] от [DATE_TIME] заключенного между [ORGANIZATION] [FINANCIAL_DATA], Россия, с [Location].No [DOCUMENT_NUMBER] от [DATE_TIME] [Contact ID] с предложением о досрочном платежа из [PERSON] [FINANCIAL_DATA], Россия, [LUCATION] Среди прочих сообщений: [Data_Date] мы сообщаем вам об осуществлении пересылки письма [DATATAT] от [DATA_TIME] между [PERSON] и [SIMPERSON], что мы предоставляем вам право пересылки денег и безвозмездного отчисления (либо за счет денег или взимания) и /в соответствии с условиями, указанными здесь, или в порядке, в течение следующей сделки, и в соответствии с [ДАТА]/ВЫ /С/Т], и/С [DAT/TIME], и /INY_TIME] и//NAME. Мы отказываем перечислять Вам денег, и в соответствии с вышеуказанным заявленным сроком: [OURR (в] и [Data/FINANCIENCE/DATE/DATA_TIME], и в соответствии с вышеуказанным условием, и/S, и/PERSON [data_DATE] /SER/TIME/PERSON, и/SIMERSON//PERSON, в соответствии с требованиям последней (в соответствии с (и в данном случае) и/И) или в случае, и при:","МНН [CONTACT] Россия, [LOCATION] КПП [CONTACT] тел.: [CONTACT] ОРГН [ID] e-mail: [CONTACT] www.[ORGANIZATION] [FINANCIAL_DATA], Российская Федерация, [LOCATION]. Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] Письмо о предложении осуществления досрочной оплаты Уважаемая [PERSON] [PERSON] Мы сообщаемся на Соглашение о досрочной оплате [DOCUMENT_NUMBER], от [DATE_TIME] заключенное между [ORGANIZATION] и [ORGANIZATION] (Соглашение о досрочной оплате). В соответствии с Соглашением о досрочной оплате и в порядке, изложенном в нем, предлагаем Вам согласовать более ранний срок оплаты по сч/ф [FINANCIAL_DATA] от [DATE_TIME], по договору [DOCUMENT_NUMBER], от [DATE_TIME] с выигнанной Вам соответствующего возражения на следующих условиях: Пеквизиты документа Сумма обрата в счета по первому документу, в т.ч. НДС, в руб. Сумма обрата в счета, предлагааемая к погашению, в т.ч. Сумма возмещаемого налога, в руб. к зачету Сумма погашения счета (таб 4 - таб 5), в т.ч. 1 2 3 4 5 1 [FINANCIAL_DATA] от [DATE_TIME] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] Итого [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] Просим Вас подтвердить согласие с досрочной оплатой и выигнанной возражения на условиях, приведенных выше, путем подписания и возврата нам настоящего письма. В соответствии с Соглашением о досрочной оплате, Вы также вправе направить нами об отказе в возможности досрочной оплаты или с предложением осуществить досрочную оплату на иных условиях. Подписано от имени [ORGANIZATION] / [PERSON] / [PERSON] / [PERSON] С условиями досрочной оплаты и возражения согласны / [PERSON] /"
Блок финансового директора,eng_Latn,"[ДАТАТЬ] [Место] Мы уведомляем Вас о соглашении о досрочном плате [УКРЕСТВИЕНИЕ] [ДОКУМЕНТ] [ДАТЬ_ВРЕМЯ], которое мы подписываем между [ОРГАНИЗАЦИей] и [ОРГАНИЗАЦИей] (Соглашение об оплате молитвы).

Согласно [Document] [DATE_TIME] (Молитвенное соглашение) и в соответствии с условиями, изложенными в этом документе, мы предлагаем договориться о более коротком сроке оплаты с [FINANIAL_DATA] [DATA_TIME] [Document_TIME] [Document_TIME] Мы уведомляем Вас о заключенном соглашении о предварительных платежах [FINANIAL_DATA] и [ORGANIZATION] [Prayer_TIME] Настоящим информируем Вас о начале ранее заключенного соглашения о предварительных платежах и имеем право вернуть деньги раньше, соглашаясь на условия, изложенные в этом документе, и соглашаясь на более короткое сроки [FINANIAL_DATA] [Document_TIME] [Document_TIME] после наступления даты [FINANIAL_DATA] и [Prayer_TIME] [Prayer_TIME], мы уведомляем Вас о предварительных платежах и уведомляем Вас, мы можем написать письмо после начала платежа, либо отправить заявку на воздачу деньги (в течение 4 (или 5) дней), если мы также согласились дать согласие (о) на то, что вы (Вы) (ВО Вы, [В Участная (Приложенный) и/Ведный/И) [ТВластную] [Файные], также можете [В [Мы] [Почтвоить] и/В (В /Пара, в) [О], [О]], [Вру, [В/П]/, О] [ВО], [ВА, [В/О], [В/В], [СО/Че] [/В], [В/В/В/В[] [/В] [В/В], [В] [В/В] [в/ТЭ/В] [В/В] [В] [/В], [В/В] [В/В/С [В], [В] [В/В[В], [В] [В] [В/В] и/В/В/В/В] [С и//В/В/В/В] [В] [В/В/В/В/В/В/В/В/Т, [В/И, [В] [/В] и в/В/В/Т [В/В/С/В/В/В/В, [/В/В/В/В/В/В/В/Т /В/В/В/И/В[В/В и/, [В/В/В/В][/В//В/В/В/В/В/В/В, [В/В/В/ВВ/В/В/В/В//В/В/В/В/В//В/В/В/В/В//В/В/В/В, [В/В/В/В/В/В/В/В/В/В/В/В/В/В/В/И/В/И/В/В/В/В/В/А/В/В/В/В/И/В/В/В/В/В/В/В/В/В/В/В/В/И/В/В//В/В/В/В/В/В/В/В/И/В/В/В/В/В/В/В/В/В/С/В/В/В/В/В/В/В/В/В/В/В/В/В/В/В/В/С/В/В/В/В/В/В/В, [/В,В/В/В/В/В/В/В/В/С/В//В/В//В/В/В/В/В/В/В/В/В//В/В,/В/В/Г/В/В/В/В//В/В/В/В/В/В/В/И//В/В/В/В//Н/В/В/В/В/В/В/В,/В/В//В/В/В/В/В//В/С/В/В/В/В/В/В/В/В/В/С,/В/В/Н/В/В/В

время.","МНН [ID] [LOCATION]тел.: [CONTACT] e-mail: [CONTACT] www.[WEBSITE] [FINANCIAL_DATA], [LOCATION]. Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] Письмо о предложении осуществления досрочной оплаты Уважаемая [PERSON] Мы сообщаемся на Соглашение о досрочной оплате [DOCUMENT_NUMBER], от [DATE_TIME] заключенное между [ORGANIZATION] и [ORGANIZATION] (Соглашение о досрочной оплате). В соответствии с Соглашением о досрочной оплате и в порядке, изложенном в нем, предлагаем Вам согласовать более ранний срок оплаты по сч/ф [FINANCIAL_DATA] от [DATE_TIME], по договору [DOCUMENT_NUMBER], от [DATE_TIME] с выигнанной Вам соответствующего возражения на следующих условиях: Пеквизиты Сумма обрата в счета по неприходному документу, в т.ч. НДС, в руб. Сумма обрата, предлагающаяся к погашению, в т.ч. Сумма возмещения за погашение, в руб. к зачету Сумма погашения оплаты (Трафа 4 - Трафа 5), в т.ч. Предлагаемая дата погашения оплаты1 2 3 4 5 6 7 1 [FINANCIAL_DATA] от [DATE_TIME] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [DATE_TIME] Итого [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] [FINANCIAL_DATA] Просим Вас подтвердить согласие с досрочной оплатой и выигнанной возражения на условиях, приведенных выше, путем подписанния и возврата нам настоящего письма. В соответствии с Соглашением о досрочной оплате, Вы также вправе направить нами об отказе возможности досрочной оплаты или с предложением осуществить досрочную оплату на иных условиях. Подписано от имени [ORGANIZATION] / [PERSON] / по доверенности No [DOCUMENT_NUMBER] от [DATE_TIME] г. С условиями досрочной оплаты и возражения согласны / [PERSON] /"
