label,pivot_lang,translated,original
Блок заместителя генерального директора по организационным вопросам,eng_Latn,"Компания с ограниченной ответственностью [ОАРГАНIZАЦИЯ] [МОСИЛЬНОЙ ЗАЙСЛОВЬНОСТЬЮ] [МОСТОЛ] в [ОБЕКТ] проекта [ДАКУМЕНТ_НУМЕР], страница 3, этаж 3, офис 325 [ИНФОРМАНТ] Имя юридического лица [ОрГАНИЗАЦИЯ] [ПЕРСОН] Просьба подписать баланс в [МОСТОЛ] Уважаемая [ЛЮБНЫЙ ПЕРСОН]! В связи с реализацией необходимых мер во избежание нарушений в предоставлении услуг [ОРГАНИЗАЦИЕ] Я прошу вашего согласия на подписание баланса [ФИНАНЦИАЛЬНЫЕ ДОКЛАТЫ] в следующих учреждениях: No PP [ОБЕКТ] [ОНИЦИЯ] [ФИНАНЦИАЛЬНЦИЯ] [ФИНАНЦИЯ] [Объектив] [ОБОКОНОНАЛИЦИЯ] [ДОБОНАЛЬСОВЕ] [СОКОНАЛИЦИЯ] [БОКОНАЛЮРЕННТ]: [С ОБУЗОРПРЕДАЦИЙ] [ВАКОНТРАМЕНТ] [КОНТРАЗУБОНСЬ] [АДЫ: [АЧТРАСТАРОТАКОНТИ] [С]","Общество с ограниченной ответственностью [ORGANIZATION] [LOCATION] на [OBJECT] проекта [DOCUMENT_NUMBER], д.3, этаж 3, офис 325 [ID] Наименование юридического лица [ORGANIZATION] [PERSON] Запрос на подписание баланса на [LOCATION] Уважаемая [PERSON]! В связи с проведением необходимых мероприятий, во избежание сбоя в оказании услуг по обслуживанию [ORGANIZATION] прошу Вас согласовать подписание баланса [FINANCIAL_DATA] на следующих объектах: No ПП Объект [PERSON] [FINANCIAL_DATA] [FINANCIAL_DATA] [DATE_TIME] Сообщаем, что при выполнении работ, замена сотрудников происходит не реже одного раза в месяц. Генеральный директор [ORGANIZATION] [PERSON] Информация о компании: [ORGANIZATION] [LOCATION] Тел.: [CONTACT] Информационный центр по вопросам обращения объектов [OBJECT], [OBJECT], [OBJECT] и [OBJECT] [ORGANIZATION] [PERSON] Email: [CONTACT]"
Блок заместителя генерального директора по организационным вопросам,eng_Latn,[Номер документа] Предмет: На заключение DS No 6 договора No [Номер документа] главе администрации социального обеспечения [Документ] [Лицо] Дорогой [Лицо]! в ответ на [Документ] заключения DS No 6 [Документа] [Лицо] настоящим выражает свое согласие на заключение дополнительного соглашения No 6 об оснащении транспортных средств системой видеонаблюдения к контракту No [Номер документа] об услугах по комплексному обслуживанию объектов социального страхования в [Объекте] Контактные контейнеры Приложение No 1. проект дополнительного соглашения No 6 Генерального директора [Документ] [Документ] [Лицо] [],[ORGANIZATION] [LOCATION] [DOCUMENT_NUMBER] на [DOCUMENT_NUMBER] Тема: О заключении ДС No6 к Договору No [DOCUMENT_NUMBER] Начальнику управления социально-бытового обеспечения [ORGANIZATION] [PERSON] Уважаемый [PERSON]! В ответ на [DOCUMENT_NUMBER] о заключении ДС No 6 [ORGANIZATION] выражает свое согласие на заключение дополнительного соглашения No 6 на оснащение транспортных средств системой видеонаблюдения к Договору No [DOCUMENT_NUMBER] на оказание услуг по комплексному обслуживанию объектов социально-бытового назначения на [OBJECT]. Приложения: 1. Проект Дополнительного соглашения No 6 Генеральный директор [ORGANIZATION] [PERSON] Исполнитель: [PERSON] Тел. [CONTACT] Email. [CONTACT] Инициатор: [PERSON] Email. [CONTACT]
Блок заместителя генерального директора по организационным вопросам,eng_Latn,В ответ на [DOCUMENT_NUMBER] о заключении DS No 2 [OPR] [OPAR] [DOCUMENT_NUMBER] о заключении DS No 2 [DOCUMENT_NUMBER] (предмет: Заключение OPD No 2 к Договору No] [DOCUMENT_NUMBER] (документ) Уважаемые [Лицо]! (лицо) - в ответ на [DOCUMENT_NUMBER] о заключении DS No 2 [Организация] соглашается заключить дополнительное соглашение No 2 на оснащение транспортных средств видеоаналитической системой к Договору No[DOCUMENT_NUMBER] о предоставлении услуг по интегрированному обслуживанию объектов социального и бытового назначения на [объект].,[ORGANIZATION] [LOCATION] [DOCUMENT_NUMBER] на [DOCUMENT_NUMBER] Тема: О заключении ДС No2 к Договору No [DOCUMENT_NUMBER] Уважаемая [PERSON]! В ответ на [DOCUMENT_NUMBER] о заключении ДС No 2 [ORGANIZATION] выражает свое согласие на заключение дополнительного соглашения No 2 на оснащение транспортных средств системой видеоаналитики к Договору No [DOCUMENT_NUMBER] на оказание услуг по комплексному обслуживанию объектов социального-бытового назначения на [OBJECT]. Приложения: 1. Проект Дополнительного соглашения No 2 Генеральный директор [ORGANIZATION] Исполнитель: [PERSON] Тел. [CONTACT] Email. [CONTACT] Инициатор: [PERSON] Email. [CONTACT] Наименование: [ORGANIZATION] [PERSON]
Блок заместителя генерального директора по организационным вопросам,eng_Latn,"Уважаемый [ЧЕСТВО] Уважаемый [ЧЕЛОВЕК]! в ответ на вопрос [Документ No 2 на тему: О заключении Договора No 4] вышеупомянутые условия не были включены в ценовое предложение в ходе конкурсного отбора и дополнительные обязательства приписаны, что позднее приведет к непогашенным расходам. мы отправляем вам проект соглашения в рамках согласованного дополнительного договора [Документ No 2] [Агентство: Дополнительный поставщик: Электронная почта: [ЧЕЛОВЕК] [Контракт: Дополнительный поставщик: Подрядчик] [Контакты: Email: Email: [Дополнительный поставщик] [Обсуждение о продлении соглашения] [Проекта: Дополнительный поставщик] [Дополнительный доставщик]: Email: [Домагит]: [Проектирование]: [Проект] [Домагит]: [Домагит]: [Проект]: [Дополнительный поставщик]: [Проект]: [Проект]: [Конечно], [Обсущество]: [Контакты]: [Проект: Дополнительный поставщик: [Проект]: [Проект]: [Проект]: [Новодитель]: [Проект: Администратор]: [Контакты]: [Проект]: Продавец]: [Руказ]: [Обсудачитель: Проце] [Сбор: [Элект]: [Домагит: Оценки]","[ORGANIZATION] [LOCATION] [DOCUMENT_NUMBER] на [DOCUMENT_NUMBER] по теме: О заключении ДС No 2 к Договору No [DOCUMENT_NUMBER] И.О. [PERSON] [PERSON] Уважаемая [PERSON]! В ответ на Исх. No [DOCUMENT_NUMBER] по теме: О заключении ДС No 2 к Договору No [DOCUMENT_NUMBER] [ORGANIZATION] выражает свое согласие на заключение ДС с учетом корректировок и исключением пункта 4 проекта дополнительного соглашения, обозначенные условия не были включены в ценовое предложение при проведении конкурентного отбора и возлагаются дополнительные обязанности, которые в дальнейшем станут причиной незапланированных расходов. Направляем Вам проект дополнительного соглашения в согласованной редакции (Приложение No 1). Приложения: 1. Проект Дополнительного соглашения No 2 [PERSON] [PERSON] Исполнитель: [PERSON] [CONTACT] Email: [CONTACT] Инициатор: [PERSON] Email: [CONTACT]"
Блок заместителя генерального директора по организационным вопросам,eng_Latn,"S.M. S. A. / B.C.S. A. S.C.I. NURMER, S.L.L.O. Начальнику отдела социального обеспечения О.L.I.D. L. [ОТЧЕНЬ] [РОГАНИЗАЦИЯ] [ЛЮБИЧЕСКАЯ] [ЛЮБИЧЕСКАЯ] просьба о продлении смены для [ОЗДОВОРЯВАЮЩЕЙ] [ЛЮБИЧЕСКАЯ] дорогие [ЛЮБИЧЕСКАЯ]! В связи с деловыми причинами, чтобы избежать перерыва в предоставлении услуг на объекте и согласовывать даты смен по должности сотрудников, О.L.I.S. [Организация] просит вас согласиться на продление времени смены с [СЕЙНСЕЙ] на [ФАНАЛ_ДАТА] на следующие дни для следующих сотрудников: нет [ДАТЭТО] нет [ЗНАЛОЧЕННСЕЙ] нет [ДАТЕТЕСНСЕ] нет [ДЕНАТЬ] нет [СТАЧЕНЬ] нет (ЛЮБИСТРЕЙНСЕЙНСЕЙНСК: Не обращаем внимания на телефоны: [ГААЛЮБИЧЕСКАМЯВЕ] и просим сотрудников, кроме [УДАТЕВЕЛЬ: [ОЗНСЭК]].","Общество с ограниченной ответственностью [ORGANIZATION] [LOCATION] [DOCUMENT_NUMBER] ИНН/КПП [ID]/[ID] На начальнику управления социального благотворительного обеспечения ООО [ORGANIZATION] [PERSON] Запрос на продление вахты на [OBJECT] Уважаемая [PERSON]! В связи с производственной необходимостью, во избежание срыва оказания услуг на объекте [OBJECT] и упорядочивание дат перевахты сменников по должности сотрудников, ООО [ORGANIZATION] просит Вас согласовать продление срока вахты с [DATE_TIME] на [FINANCIAL_DATA] дней для следующих сотрудников: No Должность [PERSON] [PERSON] [FINANCIAL_DATA] [DATE_TIME] Сообщаем, что сотрудник не имеет медицинских противопоказаний, а также при условии, что смена сотрудников не позднее выезда сменных дат, общего срока пребывания не превысит [FINANCIAL_DATA] дней. Генеральный директор ООО [ORGANIZATION] [PERSON] Информация по телефону: [CONTACT] E-mail: [CONTACT]"
Проект сервиса скважин,eng_Latn,"Из письма к [СТАТЬЯ Времени] [ЛЮДУКА] (ЛЮДУКА) была высказана необходимость организации мероприятий по проведению дополнительных работ по разработке и исполнению краткосрочного ГТР на скважине No [ID] KGS No [ID].Исходя из вышесказанного, просим вас организовать выполнение вышеуказанной работы по окончании работ на скважине No [ID] KGS No [ID] [LÝD] [ЛЮДУК]!Кроме того, в письме от [СТОТЫМЬ] [СТАТЬЯ Времени] [РАЗДИПРЕССЦИЯ] [КОРОНЬ] [Администратор] [ЛЮДУКАТЬ] [ТОРМЕЙ) [ТОРМЕЙ] [ТРМЕЙ] [ТРМЕЙ] [ТРМЕЙ] [ТРМЕЙ] [КАРОГРАРИЦИЯ] [ТРМЕЙ] [ТРМЕЙ] [ТРЭЙ] [РУправление земхозяйственного хозяйства] [РЭТОРМЕЙ] [ТРМЕЙ] [РЕМЕЙ] [РЕМЕЙРЕЙРЕЙРЭ [ТРЭЙР ЕР] [РЙР [РЭРЭРЕЙР ЕР ЕРЕ] [ДИРЕЙ РЕЙРЕЙ] [ДИТРОЙРЕЙРЕЙРЕ ЯРЕЕ] [РЕЙРЕЙРЭРЕЙРЕЙРЕЙРЕЙЕР [Р ЭРЕЙЕЙРЕЙЕР] [РЕЙРЕЙР ЕЙРЕЙРЕЙ [РЙРЕЙРЕЙРЫРЫ РЕЙЕЙЕЙ] [РЭРЕЙРЕЙ]МИ ЯРЫР ЭРИЙРИЙРЕЙ [РЕЙЕЙРЕЙРЕЙЕЙРЕЙРЙ РЭЙРЕЙ [РЕЙРЕЙЕЙ] РЕЙЕРЙРЙЕЙЙ РЕТИЕЙ [РЫ[РЕЙИЙ]",[ORGANIZATION] ИНВЕСТ Общество с ограниченной ответственностью [ORGANIZATION] Филиал [LOCATION] О работах на скважине No [ID] КГС No [ID] Уважаемый [PERSON]! Письмом от [DATE_TIME] [DOCUMENT_NUMBER] [ORGANIZATION] ( [PERSON] ) доведена необходимость организации работ по проведению дополнительного освоения и выполнения краткосрочных ГДИ на скважине No [ID] КГС No [ID]. На основании вышеизложенного просим Вас организовать проведение вышеобозначенных работ по окончании работ на скважине No [ID] КГС No [ID]. Приложение: копия письма [ORGANIZATION] ( [PERSON] ) от [DATE_TIME] [DOCUMENT_NUMBER] на 1 л. в 1 экз. Заместитель директора по бурению и геологии [PERSON] [PERSON] доб. [CONTACT] ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат [ID] Владелец [PERSON] Действителен с [DATE_TIME] по [DATE_TIME] N [DOCUMENT_NUMBER] от [DATE_TIME]
Проект сервиса скважин,eng_Latn,"[DATE_TIME] [DATE_TIME] [Document_Number] [DATE_TIME] No No [Document_Number] [Date_TIME] По условиям существующих контрактов от [DATE_TIME] [DATE_TIME] [Document_Number] [Date_TIME] и в ответ на запрос о согласии вы будете отправлены в [DocumentHOUEXCOMNEX] следующее подразделение [DETAILS] [CONTACTNEMER] для предоставления отчетности в течение определенного периода для осуществления рабочих работ [DATE_TIME] [DATE_TIME] [Document_Number] [DATE_TIME] [DAT_TIME] [DATE_CONTACTNEMER] [DATE_TIME] [Date_TIME] [TIME] [COTACTNEMER] [CONTACTNEMER] [TIME][ContactNEMER] [MITHOGEMENT] [PESTYORNEMER]: [В следующий период], [NIME] [COSTEMENTUMENT][TIME], [Time] [NAME] [TIME] [TIME] [TIME], [TIME], [TIME] [WELL], [TIME], [TIME], [TIME], [TIME], [PEMNAME] [NEMPlace], [PEMPlace] [POST], [NAME], [TIME], [TIME], [METRESTS], [TIME, [TIME] [TIME], [TIME], [TIME], [TIME], [SEN], [DATTER], [CERT], [TIME], [TIME, [Date], [TIME], [TIME,TIME], [TIME], [TIME], [TIME], [TIM], [Contin], [CERT] [TIME,] [TIME,] [TIME, [TIME], [TIME] [Times], [PUNTIME, [TIM] [TAL, [TIME, [O], [TIME], [TIME], [CON] [TIME, [TIME], [TIME], [TIME], [TEM] [TIME], [TIME],[TIT], [TIME], [T], [TIME], [TIME, [TIME];[TEM], [CON],[TIM] [TIME,]:[TIME, [Time], [TIME], [TIM; [T][TIME,TIM], [Times], [T], [Temp], [TIME] [T], [Times,T];I] [T],[Times], [TEM], [TIME, [TEM],T[T]] [TIME:[T;[T][T] [TIME] [T], [TIME,],[TIME, [TIME]:] [TIME],[TIME],[T];t] [T;TIME, [T],[T;[T],[T;T],[TT],[T]T, T]T],[T; [T]T - это - в течение [T], в течение одного, (че]: в течение [T:В [D], [Times] [T;","[ORGANIZATION]-[ORGANIZATION] [DATE_TIME] No [DOCUMENT_NUMBER] На No [DOCUMENT_NUMBER] от [DATE_TIME] Заместителю руководителя проекта по бурению и ВСР [ORGANIZATION] [PERSON] [CONTACT] Уважаемый [PERSON]! В рамках действующих договоров от [DATE_TIME] NoNo No [DOCUMENT_NUMBER], [DOCUMENT_NUMBER], [DOCUMENT_NUMBER], [DOCUMENT_NUMBER] (далее - договоры), а также в ответ на Ваш запрос о согласии на направление в адрес [ORGANIZATION] филиала [LOCATION] информации для проведения претензионной работы в отношении [ORGANIZATION] признанной виновной стороной в проведенных [ORGANIZATION] работах по ликвидации инцидента в связи с расстыковкой разъединителя колонны комплекса подземного оборудования на скважине No [NUMBER] КГС [NUMBER] [LOCATION] в период с [DATE_TIME] по [DATE_TIME], сообщаем, что [ORGANIZATION] дает свое согласие на направление в адрес [ORGANIZATION] следующей информации по действующим договорам: * договор, расценки, подписи и реквизиты сторон, а также приложения к договорам; * документы, подтверждающие выполнение и оплату работ в период НПВ (акт выполненных работ КС-2, КС-3, акты оказанных услуг, УПД, платежные поручения, счета-фактуры) по скважине No [NUMBER] КГС [NUMBER] [LOCATION]. Главный инженер [PERSON] [PERSON], ведущий инженер по нормированию труда, тел. [CONTACT] [LOCATION], а/я [NUMBER] [ID] [ORGANIZATION] www.[ORGANIZATION].com [ID]/КПП [NUMBER] Тел.: [CONTACT] Факс: [CONTACT] E-mail: [CONTACT]"
Проект сервиса скважин,eng_Latn,"[Организация] [МОСТ] [КОНТАКТ] [СОБЕРГЕНИЕ] [СОБЕРГЕНИЕ ДОКУМЕНТАНТНОЕ] [ЛЮДЬ] [Люди] Об этом, чтобы начать работы над ЦОП [СОБЕРГЕНИЕ] [ОБЕкт] Уважаемая [Людицу]! в связи с переносом даты начала работ по строительству скважин на территории загона [СОБЕкт] [НОБЕкт] [Я хотел бы просить о переносе мобилизации Ваших подрядчиков. приблизительная дата начала работы - [СОБЕРГЕНИЕ DATE_TIME]. При всем уважении, [ЛЮДИЦА] [СОВРУЧЕНЬК] [СОВРУСТ] добротно прошу. [НОБЕкт]","[ORGANIZATION] [LOCATION] [CONTACT] [DATE_TIME] [DOCUMENT_NUMBER] [PERSON] [PERSON] Касательно начала работ на КП [NUMBER] [OBJECT] Уважаемый [PERSON]! В связи с переносом даты начала работ по строительству скважин на кустовой площадке [NUMBER] [OBJECT], прошу перенести мобилизацию Ваших сервисных подрядчиков. Ориентировочная дата начала работ [DATE_TIME]. С уважением, [PERSON] [PERSON] [CONTACT] доб. [NUMBER]"
Проект сервиса скважин,eng_Latn,"Организация] Инвестируйте собственную ответственность ООО [организация] Инвестируйте собственную филиалы [место] Управляющему проектом комплексной службы строительства скважин [организация] Gazprömneft-Zappolarje [человек] тер. Пемусель Пели, панель V, д.4, [место]: [контакт], факс: [контакт] электронная почта: [контакт], www [домен] OKPO [идентификатор] OGRN [документ], IND [обд], KEO [идентификатор] соглашаются осуществить субоперацию сооружения [операция] Gazprotornesters [обратное обеспечение] NOCONTERNOTERNOTSOPS-KOPERSNOTSOPSIOP[приобретение] notime-termination [приобретение] Notime-termination [обнаружение] Notime-termination [обретение] Notime-termination [приобретении] No-time-termination [обращение] [приобратное обеспечение] No-time-termination [регулизультат] [продачание], [приобъявление] [объявление] [возможное время]. [определение] [необладательство] [определение] [обладание] [отделожевание] [отдача] [отсрока] [определение] [определение] [вольные люди [отсрочность] [отсрочность] [необрегущение] [отрегуличный срок] [время [овность] [оперативный [временное] [пременение] [отрезудник] [отрезиденция] [отрежимный [отрезуренный] [о [время] [существо] [сущий] [перевод] [некоторый [преференц] [позволен [обрежим] [объенный] [поездный [реко] [не] [время] [о[от] [режиток] [приземный] [умень [на] [пост] [регит] [отрежимного периода [дный] [о] [не] [предели] [впо] [о [временный] [перевод [режим] [не [не] [оо] [о] [о] [обновный] [о] [режим], [но] [учен] [о] [у] [не]] [регурегу] [необрегу], [не] [на[поведение] [редно[] [попо ]] [не] [прировень [поче], [под] [по] [о [де] [де] [от] [] [с[от] [нере] [не] [перемесь [не] [не] [в] [попоче] [э] [под] [т] [от] [о [редающий] [с [ни[и [обрездел] [в] [передачины[[] [не [не] [] [и [не [и[] [о] [не] [не] [от] [не] [в[по[де] [не [от]] [от] [ни] [не] [от]] [о] [ко]] [не [т]. [с [во]] [э] [от] [деде] [от]] [не] [[] [о] [по] [не [не], [не [от] [по] [де] [от]].","[ORGANIZATION] ИНВЕСТ Общество с ограниченной ответственностью [ORGANIZATION] ИНВЕСТ (ООО [ORGANIZATION] ИНВЕСТ) Филиал [LOCATION] Руководителю проекта интегрированного сервиса строительства скважин [ORGANIZATION] Газпромнефть-Заполярье [PERSON] тер. Промузел Пелей, панель V, д. 4, [LOCATION]тел.: [CONTACT], факс: [CONTACT] e-mail: [CONTACT], www.[DOMAIN] ОКПО [ID], ОГРН [DOCUMENT_NUMBER], ИНН [ID], КПП [ID] О согласовании привлечения субподрядной организации Уважаемый [PERSON]! В ответ на обращение [ORGANIZATION] Газпромнефть-Заполярье от [DATE_TIME] No [DOCUMENT_NUMBER] сообщаем, что филиал [ORGANIZATION] ИНВЕСТ [LOCATION] согласовывает привлечение в качестве субподрядчика компанию [ORGANIZATION] СТРОЙПРОМГРУПП для оказания услуг по сбору и анализу статистических данных комплектов бурильного инструмента в рамках договора от [DATE_TIME] No [DOCUMENT_NUMBER] по строительству эксплуатационных газовых скважин [OBJECT], входящих в состав стройки [OBJECT] на месторождении. Эксплуатационные газовые скважины [OBJECT] (код стройки [DOCUMENT_NUMBER]). Заместитель директора по бурению и геологии [PERSON] [PERSON] доб. [DOCUMENT_NUMBER] ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат [FINANCIAL_DATA] Владелец [PERSON] Действителен с [DATE_TIME] по [DATE_TIME] N [DOCUMENT_NUMBER] от [DATE_TIME]"
Проект сервиса скважин,eng_Latn,"ГОРОД] К/с [ФИНАНЦИАЛЬНЫЕ ДАТА], [БИК] No [ДОКУМЕНТ_НЫМЕР] с [ДАТА_ЧАСТЬ], [БИК] No [ДАКУМЕНТ_НЬМЕР] с [ДАТА_ЧАСТЬ] [ОГАНИЗАЦИЯ] [ОТВЕРСАЕТ] [ДОКУМЕНТ_НУМЕР] от [ДАТА_ЧАСТЬ] [ДРЕССОН] Оставьте запрос заместителя менеджера проекта по бурильному и строительному проекту: [КОНТАКС] интернет адрес: [СИССЕЙНАСЦА] [ИДОМЕНТ] [ИД], [ИД], [ИС] [ДИС] p/s [ФИНАНЦИАЛЬНЫЕ ДАНА] филиал [ОГАНИЗАЦИЯ] G. [ГОРОД] k/c [ФИНАНЦИАЛЬНЦИАЛНЦИАЛНЫЙННЫЕ_НЬ] [ДЕКОНАЗАРА] [БИКС] No [ГОРГОРОДОК] No [ДАКОНЦЕНЬ] от [ДОКОНА] No [ДЕНАЛЬ] [ДОКОНЦЕФИНАНЦИАЛЬСЕНТРЕНЕНТ_НИА] [ДОРНЕЦАВРЭНЦИЕ] [ДАКОНА] [ДЕКОНАЗАК [DATE_ЧАСТОМАННЫ] [ДОНЕ] [СОСМЕНАЧЕНЯЗАВЕРС] [ДОГОРИОЙРСК] [ДРАДРУБОЛЬСОСТИ] [ГАНСОЙ РЕСТРАСЕНТИЁНС] [О [ЛЕАМЕНЕНИСТИИИЯ] [БИЗАНЦТИЙ [И] ДЕЛНИАЦЫЙНО] [СЕ ПО КАБЫЭНИМОНТИ [НЦИЯ/ТАРГНИИР] Проектор ИРЕСЦИАЦИЯ ДВЕТ: [ДЕК [РАЛЬ ИЗЫЙ НАРИЙНЕСТ] Приказение] [ТРЕНТИИИО ДЕЛЬДУПИНОРСЫ: [ГАТ: ССИА, ТОДСИЙ СКРИИАТИЗАНТРВО: [СПОРИСС: [ДОКЦЬ] ПО РИЗНЕСТРЕЖЕЧЕСВЕКИЗАНТИЯ -ДИВИВАНЦИЧИАТУИЯ В РАЛИЯ НАТИВОГАЦИЯТИЕИЗННИАТЕ СГИИЙ, МИНАТ, ДЕС, ТРИЗИЯТИИЖЯРИРИЗНИЗОЗСИ, РОСТИИТИЗ, И СГО РОССОДИЗЫ","[ORGANIZATION] - [SERVICES] 45, [LOCATION], Тел/Факс: [CONTACT] эл. почта: [CONTACT], адрес в интернет: [WEBSITE] [ID], [ID], [ID], [ID] р/с [FINANCIAL_DATA] филиал [ORGANIZATION] г. [CITY] к/с [FINANCIAL_DATA], [BIC] Исх No [DOCUMENT_NUMBER] от [DATE_TIME] На No [DOCUMENT_NUMBER] от [DATE_TIME] [ORGANIZATION] Заместителю руководителя проекта по бурению и ВСР [PERSON] О согласовании разглашения конфиденциальной информации Уважаемый [PERSON]! Между [ORGANIZATION] и [ORGANIZATION] заключен договор No[DOCUMENT_NUMBER] от [DATE_TIME] на оказание супервайзерских услуг при строительстве и реконструкции, бурении (в т.ч. геологоразведочном), испытании поисково-разведочных скважин, зарезке боковых стволов и углублении скважин. [ORGANIZATION] выражает свое согласие на направление в адрес [ORGANIZATION] филиал [CITY] запрашиваемой информации для ведения претензионной работы в отношении [ORGANIZATION] по ликвидации инцидента в связи с расстыковкой разъединителя колонны комплекса подземного оборудования в период с [DATE_TIME] по [DATE_TIME] на скважине No[NUMBER] КГС No[NUMBER] [REGION] НГКМ, а именно: - договор, расценки, подписи и реквизиты сторон, а также приложения к Договорам; - документы, подтверждающие выполнение и оплату работ в период НПВ (акт выполненных работ КС-2, КС-3, акты оказанных услуг, УПД, платежные поручения, счета-фактуры по скважине No[NUMBER] КГС [NUMBER]. Генеральный директор [PERSON]"
