label,pivot_lang,translated,original
Проект «Обустройство объектов Новейшей нейти»,deu_Latn,"В дополнение к предварительно заданному Расчету о предоплате в рамках Контрактов [Документ_Номер], который я сделал по контракту [Документ_Номер] на выполнение общей работы по строительству площадок и вспомогательной инфраструктуры [Объект] (включая строительство водоема, проезда WZK [Объект] и компрессорной станции [Объект]), я прошу предоставить предварительно предостаточную оплату в сумме [FINAL_CONTRANSCIALDATA], принимая во внимание гарантийный полис Баньк. [Официальная электронная почта: [CONTACT: 2 L. 1] Для предоставления услуг внедрения двух этих гарантий необходимы первые. [Официальная электронная почта: [Официальный адрес: 2 L. S. 2 C. ]","[DATE_TIME] исх. No [DOCUMENT_NUMBER] Руководителю проекта [OBJECT] [ORGANIZATION] [PERSON] Об авансировании Уважаемый [PERSON]! В дополнение к ранее направленному письму об авансировании в рамках Наряд-Заказов [DOCUMENT_NUMBER], заключенных по договору подряда [DOCUMENT_NUMBER] на выполнение комплекса работ по строительству площадочных объектов и объектов вспомогательной инфраструктуры [OBJECT] (в т.ч. строительство Резервуарного парка, ОБП с ВЖК [OBJECT], Компрессорной станции на [OBJECT]), прошу согласовать обеспечение аванса в размере [FINANCIAL_DATA] с учетом НДС двумя банковскими гарантиями возврата аванса. При этом информируем, что выпуск двух банковских гарантий может быть одномоментный. Приложения: 1. Проект банковской гарантии возврата аванса 1 на 2 л.; 2. Проект банковской гарантии возврата аванса 2 на 2 л. С уважением, И.о. генерального директора [PERSON] Исп.: [PERSON] тел.: [CONTACT] e-mail: [CONTACT]"
Блок бизнес-директора,deu_Latn,"ENTSCLUSS] [ENTSCLUSS] IN/KÄMPFE [DATE_TIME] [DATE_TIME] ADR [Fact_Fact] Adress: [LOCATION] Телефон: [CONTACT] E-mail: [CONTACT] [ORGANIZATION] No. [DOCUMENT_NUMBER] от [DATE_TIME] Назад: [PERSON] Über den Vertragsschluss [PERSON]! [ENTSCHUSS] высоко оценивает сотрудничество с [ENTSCHUSS] (далее - Клиент) высочайших усилий и поддержание усилий, чтобы качественно и своевременно выполнять все обязательства, взятые в рамках контракта для осуществления данных [CONTACT] [DISTINKS] [DISTINKS] [DISPONSORS] [DISPONSORS] Срок действия [DATCHUSCHUSSCHUSS] [DATCHUSCHUSCHUSS] отключение контракта [DATCHUSCHUSCHUSS] от подписания контракта, заключения договора, выступления [DATCHUSCHUSCHUSCHUSS] [DATCHUSCHUSCHUSCHUZ] отступление [DATCHUSCHUSCHUZ] от документов, представления [DATCHUSCHUSCHUSCHUSZ] от [DATCHUSCHUSCHUSZ], вынесения ваших [...] [DATCHUSCHUZ] отзывов, мнений, заключений [DUTTS] мнения, обращений [DATCHUSCHUSCHUSZ], высказываний [GEN [O] ответа [DUTTS] о Вас [DATCHUSCHUZ [DUTTS], высказываний и [DUTTS [DUTTS] высказывания [D [DUTTS [GUTTS] [GEN] на ваш [DUTTS[DUTTS] [DUTTS] - [DUTTS [DA] [DUTTS [C] - ответ[TS [GATE] на [DUTTS] в связи [DATCHUSTS [DUTTS] [GEN [DATCHUSCHUS] - от твоих [DATCHUSCHUTS [DUTTS] с вами, мнение [DUTTS [DUTTS] [DUTTS [DUTTS] [DATCHUSCH] - ваш [DUTTS [DUTTS [GENTS [D] [DUTTS] -[GER] от них] - их [S] [DUTTS [DUTTS [DATTS [DUTTS [DUTTS] - - [DUTTS [TUTTS [DUTTS] -","[ORGANIZATION] [ORGANIZATION] ИНН / КПП: [ID] / [ID] ОГРН [DOCUMENT_NUMBER], [DATE_TIME] Юр./ факт. адрес: [LOCATION] тел.: [CONTACT] e-mail: [CONTACT] [ORGANIZATION] No [DOCUMENT_NUMBER] от [DATE_TIME] Кому: [PERSON] О заключении Наряд-заказов Уважаемый [PERSON]! [ORGANIZATION] высоко ценит сотрудничество с [ORGANIZATION] (далее - Заказчик) и прилагает все усилия к тому, чтобы качественно и в срок выполнить все принятые на себя обязательства в рамках Договора No[DOCUMENT_NUMBER] от [DATE_TIME] на оказание услуг по сбору и передаче данных, формирование отчетности, архивированию, визуализации (далее - Договор). В ответ на Ваше письмо от [DATE_TIME] No [DOCUMENT_NUMBER] [ORGANIZATION] выражает свое согласие на заключение Наряд-заказа No [NUMBER] и Наряд-заказа No [NUMBER] в рамках Договора по реализации нефтегазовых проектов по направлению Бурение, ТКРС без изменения единичных расценок, общей стоимости, сроков выполнения работ и сроков действия Договора. С уважением, Коммерческий директор [ORGANIZATION] [PERSON] Исп. Руководитель проектов [PERSON] Тел. [CONTACT]"
Блок бизнес-директора,deu_Latn,"[Организация] [Организация] Название / Адрес: [ID] / [ID] Организация [Документ_номер], [Дата_время] Право / Факт. Адрес: [Место] Телефон: [Связь] Электронная почта: [ДК] [Организация] No [Номер документа] от [DATE_Time] Ответ: [Лицо] Что касается Заказов Прогноз [Лицо] Почетные! [Организация] высоко ценит сотрудничество с [Организацией] (далее - Заказчик) и делает все для этого, обязуясь выполнить все условия для предоставления услуг и принимая все меры, чтобы выполнить все обязательства в рамках Договора [Данные о проектах], без дачи разрешения [Организации] для переработки [Детальных документов], вывода [Изобретение] [Уводительные данные] для подтверждения, выдачи [Указывающие] подтверждения [Опрось], передачи [Обратная] доклада о выполнении [Договорения] Поступления в действие [Договор], дачи публичных подтверждений [Опредучки] [Оконтракта], и] информации об осуществлении [Рекоменной деятельности] [Организации] по реализации настоящего Договора [Архитрата].","[ORGANIZATION] [ORGANIZATION] ИНН / КПП: [ID] / [ID] ОГРН [DOCUMENT_NUMBER], [DATE_TIME] Юр./ факт. адрес: [LOCATION] тел.: [CONTACT] e-mail: [CONTACT] [ORGANIZATION] No [DOCUMENT_NUMBER] от [DATE_TIME] Кому: [PERSON] О заключении Наряд-заказов Уважаемый [PERSON]! [ORGANIZATION] высоко ценит сотрудничество с [ORGANIZATION] (далее - Заказчик) и прилагает все усилия к тому, чтобы качественно и в срок выполнить все принятые на себя обязательства в рамках Договора No[DOCUMENT_NUMBER] от [DATE_TIME] на оказание услуг по сбору и передаче данных, формирование отчетности, архивированию, визуализации (далее - Договор). В ответ на Ваше письмо от [DATE_TIME] No [DOCUMENT_NUMBER] [ORGANIZATION] выражает свое согласие на заключение Наряд-заказа No [NUMBER] и Наряд-заказа No [NUMBER] в рамках Договора по реализации нефтегазовых проектов по направлению Бурение, ТКРС без изменения единичных расценок, общей стоимости, сроков выполнения работ и сроков действия Договора. С уважением, Коммерческий директор [ORGANIZATION] [PERSON] Исп. Руководитель проектов [PERSON] Тел. [CONTACT]"
Блок директора по персоналу,deu_Latn,Организация] [Организация] [Организация] [Градоначальник Реверса] [Градоначальник ДЕР НЕПРОЙКОВОЙ СТРЕДОЖЕНИИ К ЧЕЛОВЕЧЕСКОЙ РАБОТКЕ И ВОЗДЕЛЕНИЕЙ ОРГАНИЗАТИЧЕСКОЙ ВОЗСУЧКИ ПО РОЗЕРБСТВЕННОЙ КОРЕСПОННИ: [МЕСТЕ] [КОНТАКТ] [ДОКУМЕНТ_БЕР] на [ОЛКАЦИЯ] [ВЫЗАШЕНИЕ] [УГАЗЕНЦИЯ] [ФЕРСЕНТРАНТ] [ДАТА] [ЛЮДЫ] [ЛЮДИ] [ЛЮДИ] [ЛЮДИ] [ТЕСТРАЛ] [ТЭТО] [ЭТО] [ТЕЛЬ] [НЕЧТО] [СТО] [ТЭТО] [СТО] [ВЫЗРБЕМОН] [ЛЮДЕЛЬ] [ТЕСТЭТО] [ТЕРТР] [ТР] [ЭТО] [ТО] [ТРТЭТО] [ТЕРТЭТО] [ВЫР [ТРЭТЕ] [ТО] [ТОТР [ТЭТО] [ЭТОР [ТЕР] [ВОТЭТОТЭТОТ [ТоТЕР] [ТЭТЭТЭР [ТЭТЭТЭЭТЭТ [ТЭТ [ЭР] [О] [ТЭЭТО] [ТЭЭТЭТЭТЭТЭТО] [ЭТЭР [ТЭТ ЭТОТЭТ,"[ORGANIZATION] [ORGANIZATION] [ORGANIZATION] ЗАМЕСТИТЕЛЬ ГЕНЕРАЛЬНОГО ДИРЕКТОРА ПО РАБОТЕ С ПЕРСОНАЛОМ И ОРГАНИЗАЦИОННОМУ РАЗВИТИЮ Для корреспонденции: [LOCATION] [CONTACT] [DOCUMENT_NUMBER] на [ID] _**от** _** Об увольнении в порядке перевода Уважаемый [PERSON]! Прошу рассмотреть возможность увольнения по пункту 5 части первой статьи 77 Трудового кодекса РФ в порядке перевода из [ORGANIZATION] в [ORGANIZATION] работника: [ID] [PERSON] [DATE_TIME] 1. [PERSON] [PERSON] [DATE_TIME] С уважением, [PERSON] [PERSON] [CONTACT] [ORGANIZATION]"
Блок директора по персоналу,deu_Latn,"Достоверное определение перспективных потребностей на рынке труда и ликвидация потерь на ключевых сферах экономики обеспечивается ежегодным подходом среднесрочного (3-5 лет) и долгосрочного (ещё только 1 год) прогнозирования занятости населения. [DATEATIME] [Оперуполномоченный] [OPENOPETIVE]: Оказаны важные результаты исследований в вопросах подготовки специалистов и работы, важные результаты исследований в вопросах организации доклада о работе на рабочем месте. [Оператор: [Эксперт]: [OGEMETIME] [OGEMETIVE] [Опресователь: 1] Описы 1 [Организация о подготовке и подготовке специалистов] [ГЭРГЕФ] [Оператор: 1] [OGEMETIVE] [Оператор] [ОПЕРЕНОПЕТ], информация о деятельности населения в области образования и подготовки к профессиональным профессиям доступна в [ГЭРГЕФ], [Организация]: [ОГЭРГЭРГЕФ] [Оператор: 1] [Спедагогический]: [Оперуполномоченный] [Организация] [ОГЭРГЭРГ] [Оператор: 1] [Оператор: 1 ОПэпператор: [Организация] [ОПентет] [Отдева] [ОПресобененный] [Организация 1 [Организация: 1] [Организация 1] [Оператор: 1] [Оператор: 1 [Оператор: 1] [ОПЕРГЭЭксперт] Основстрана] [Оператор: [Статистика] [Оператор: [Оператор: [Оперитор: 1] [ГЕ] [Оператор]: [Оперок: 1 [Оператор: 1] [ГЕМэро] [Оповед: 1] [Оператор: [Оператор:Организатор:О] [Органи] [ОГЭЭлектритет: 1] [ОС:[О - [О] [О]] [ОЭкспер]ГЭлектреген]: О: 1 Офис: 1 [О","[PERSON] проспект [LOCATION], д. [NUMBER], г. [CITY], [REGION], e-mail: [CONTACT], сайт: [WEBSITE] [DATE_TIME] No [DOCUMENT_NUMBER] [ORGANIZATION] [PERSON] Уважаемый [PERSON]! В целях определения государственной политики на российском рынке труда [ORGANIZATION] проводит Всероссийский опрос работодателей для прогнозирования кадровой потребности экономики и своевременной подготовки профессиональных кадров. Своевременное выявление перспективных потребностей на рынке труда и устранение дефицита кадров в ключевых направлениях экономики обеспечивается ежегодным формированием среднесрочного (3-5 лет) и долгосрочного (7 лет) прогнозов занятости населения. Одним из основных источников информации для формирования прогноза занятости населения являются результаты опроса работодателей о прогнозной потребности в квалифицированных специалистах. Учитывая значимую роль Вашей организации на рынке труда региона прошу Вас внести свой вклад в формирование достоверного прогноза занятости населения России и принять участие в опросе работодателей. Опросная форма доступна по ссылке [URL] с [DATE_TIME] по [DATE_TIME] [YEAR]. Справочная информация по участию в опросе прилагается. Приложение: на 1 л. в 1 экз. ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ СВЕДЕНИЯ О СЕРТИФИКАТЕ ЭП Сертификат: [ID] Владелец: [PERSON] Действителен с [DATE_TIME] по [DATE_TIME] [PERSON] [CONTACT], [PERSON], эксперт I категории управления стратегического планирования департамента экономики [ORGANIZATION], [CONTACT]"
Блок заместителя генерального директора по организационным вопросам,deu_Latn,"ООО ООО [ООрганизация] [Местоположение] [Цель] Проект [DOCUMENT_NUMBER], D.3, Floor 3, Office 325 [ID] Наименование юридического лица [Организация] [Личность] Запрос о подписи на отчёт о балансе [Местоположение] Дорогие люди [Личность]! В связи с осуществлением необходимых мер в целях избежания сбоев в оказании услуг [Организация], გთხოვт я подписать соглашение на подписание на отчёт о балансе [FINANIAL_DATA] на следующие объекты: Никакие вещи [Объекты] [PONANIAL_DATA] [ФИНАНАЛЫЙСТВЕННЫЙ_ДЕНЬ] [ОБАЛЕНТСТВИ] [РЭШЕНИЯ] [ДОМИЦЕНТВИЯ] [ВЕЩЕТ], сообщаю вам о том, что при осуществлении работы СЭЛЬЮДАНЦИНАСТЬЬСКОГОЙ ДОТОРБОЛЬЯ МОНТРОДАНЕЙЯНЕТРЫ","Общество с ограниченной ответственностью [ORGANIZATION] [LOCATION] на [OBJECT] проекта [DOCUMENT_NUMBER], д.3, этаж 3, офис 325 [ID] Наименование юридического лица [ORGANIZATION] [PERSON] Запрос на подписание баланса на [LOCATION] Уважаемая [PERSON]! В связи с проведением необходимых мероприятий, во избежание сбоя в оказании услуг по обслуживанию [ORGANIZATION] прошу Вас согласовать подписание баланса [FINANCIAL_DATA] на следующих объектах: No ПП Объект [PERSON] [FINANCIAL_DATA] [FINANCIAL_DATA] [DATE_TIME] Сообщаем, что при выполнении работ, замена сотрудников происходит не реже одного раза в месяц. Генеральный директор [ORGANIZATION] [PERSON] Информация о компании: [ORGANIZATION] [LOCATION] Тел.: [CONTACT] Информационный центр по вопросам обращения объектов [OBJECT], [OBJECT], [OBJECT] и [OBJECT] [ORGANIZATION] [PERSON] Email: [CONTACT]"
Блок заместителя генерального директора по организационным вопросам,deu_Latn,"В настоящее время, в связи с ростом грузового движения и увеличением выпуска МRT-данных на станции КРЗ Бованенковскье-НКБ - общий объем занятых сотрудников отделения составляет [Количество] Лиц, из которых [Количество] сотрудники размещаются в верхних рулонах кроватей в частных автомобильных домах, что может привести к неблагоприятному психологическому климату и растущему социальным напряжению среди сотрудников дивизии. [Количество] Отделение предлагает в рамках данного соглашения представить [Электронное письмо] Директорам [других генеральных директоров] организации [Картизанский офис и директора]. [Картизанский офис]: [Картизанский офис] Генеральный директор [Nummer]: [Картизанский офис]: [Картизанский офис] генеральный директор [VONTROVIT] и [Картизанский офис] Персонал [Норниковый офис] [NORNORNORNOR] получают [ПЕРЕМАНАСПРИТЭЦИ] [КАРтизанный офис], [Картизанский офис] [Бринарный офис] - [Картизанский офис] [Kонтрабанков] - [Картизанский офис]. [Раттизанный офис] - возможность получать информацию и получать информацию о расходах организации через электронные устройства [Кантер [Картизанский офис].","[ORGANIZATION] на [DATE_TIME] Об оказании содействия в предоставлении жилых мест Уважаемый [PERSON]! Между [ORGANIZATION] и [ORGANIZATION] заключен договор [DOCUMENT_NUMBER] оказания услуг по складской и транспортной логистике (Далее Договор). В настоящее время, в связи с увеличением грузопотока и увеличением объема выдачи МТР на ст. Карская Бованенковского НГКМ - общая численность задействованных работников Дивизиона Север составляет – [NUMBER] чел., из них [NUMBER] работника размещены на верхних ярусах кроватей в жилых вагон-домах, что способствует неблагоприятному психологическому климату и росту социальной напряженности среди работников Дивизиона Север [ORGANIZATION]. На основании вышеизложенного, просим Вас рассмотреть техническую возможность в предоставлении койка-мест для размещения вахтового персонала Дивизиона до мобилизации собственных вагон-домов с Обского причала г. [LOCATION] ориентировочно до [DATE_TIME]. Возмещение затрат предлагаем в рамках действующего договора СТЛ между [ORGANIZATION] и [ORGANIZATION]. Информацию о принятом решении просим направить ответным письмом на электронный адрес: [CONTACT]. Директор Дивизиона Север [PERSON] [ID] [CONTACT] [ORGANIZATION] Заместителю генерального директора по организационным вопросам [PERSON] копия: Заместителю генерального директора по закупкам [PERSON]. Операционному директору [PERSON]. Уважаемый [PERSON]! Директор Дивизиона Север [PERSON] [ID] [CONTACT]"
"Проект ""Новая нефть""",deu_Latn,"НЕДОКУМЕНТ!НАСЕЛЕНИЕ НЕ касательно технических предложений по производству и поставке автоматических систем управления (ASM) гребнем нагревателя (AGM) для газонагревающего модуля (HGHM) GPA-16 ОБЕКТ [ОПЦИЯ] Отправить нам заполненный Попросблет групп организации, а также отзывы о группах с отложением заявок.Спросить о наличии технических предложений, не имеющих разрешения, позвольте мне, чтобы выяснить, какая техника, которая может помочь (а именно: Перейти по месту назначения) [ПОРПОНТАЦИЯ ДЛЯ ОПРЕТАТИВА: Попытка с отмены]: ОПРЕТАЦИВАция: [РЕМЕЖЬ] [ОПРЕТАЦИВАЦИЯ ДЛЯ ОПРЕТАТИВАЦИИИЯ ДЛЯ ОПРЕТАТИВАЦИВАЦИИАции ДЛЯ ОПРЕТАЦИВАЦИВАЦИЯ [РЕМЕЖЕНИ: Воспрос].","[ORGANIZATION] [ORGANIZATION] [OBJECT] [DATE_TIME] [ORGANIZATION] [PERSON] [CONTACT] [PERSON] [CONTACT] Уважаемый [PERSON]! В ответ на исх.No[DOCUMENT_NUMBER] касаемо технических предложений на изготовление и поставку системы автоматического управления (САУ) агрегата воздухонагревательного газового модульного (АВГМ) для ГПА-16 [OBJECT] в приложении направляю заполненный лист коллективной проверки компании [ORGANIZATION], а также скорректированную пояснительную записку [DOCUMENT_NUMBER] ПЗ. Прошу Вас рассмотреть и, при отсутствии замечаний, согласовать техническое предложение на поставку САУ АВГМ производства [ORGANIZATION]. Приложения: - ЛКП [ORGANIZATION]; - [DOCUMENT_NUMBER] ПЗ. [PERSON] [PERSON] [CONTACT] [DATE_TIME]"
"Проект ""Новая нефть""",deu_Latn,"[Организация] [Стандарт] Скажите: [Контакты] Факс: [Контакты] [СЕЙЧАС] Милый человек!Следуя вашей записке от [СЕЙЧАС] по поводу наличия замечаний о документации в [ОБЯКТ], мы обращаем Ваше внимание на проверку и уточнение исправленной документации и LKP-файла с нашими замечаниями о документации.Приложение: [СЕЙЧАС] в [ОБЯКТ] Архив с файлами. stellvertretender Projektmanager [ЛЮБЫ]",[ORGANIZATION] [LOCATION] Тел.: [CONTACT] Факс: [CONTACT] [DATE_TIME] Уважаемый [PERSON]! В ответ на Ваше письмо [DOCUMENT_NUMBER] от [DATE_TIME] касательно наличия замечаний к документации на [OBJECT] направляем Вам на рассмотрение и согласование откорректированную документацию и файл ЛКП с нашими комментариями к замечаниям. Приложение: [DOCUMENT_NUMBER] на [OBJECT] – архив с файлами. Заместитель управляющего директора по управлению проектами [PERSON]
"Проект ""Новая нефть""",deu_Latn,"TELL: [CONTACT] Факс: [Contact] [CONTACT] www[ORGANISATION] [ID] [DUKUMENT_NUMBER] [PERSON] [PERSON] E-Mail: [CONTACT] Копируй [PERSON] [PERSON] [Contact] [Contact] E-Mail: [Contact] [KONTACT] Начальник отдела оплаты за снятие закупочных решений [ORGANIZATION] [PERSON] [DIPTY E-Mail: [Contact] [DUKUMENT_NUMBER] [PERSON] [PERSON] [DUKUMEN] [DEKUNTER] [DEKUNTER] [PERSON] [PERSONPRI] Отвечайте на письмо своего ISO 1400 No. [DESPALKISTE] [DEKUNTER] [DEKUNTER] [DEKUNTER] [DEKUNTER]: [DECUNTER] [DEKUNTER], [DEKUNTER], [DEKUNTER], [DEKUNTER], [DEKUNTER], [DEKUNTER], [DEKUNTER], [DEKUNTER], [DEKUNTER), [DEKUNTER, [DEKUNTER), [DEM: [Inter]. [DETTER, [DEKUNTER, [DEKUNTER], [IN], [NATV], [DENTION: [DETA, [DECT: [DEKT] [DEKUNTER], [TED], [IN: [DET, [DEKUNTER], [EN], [DEN, [TIN:[A: ] [IT]: [DATE], [DATE [PERSON: (А: [AT], [S: (С], [DATE], [DES), [IN:D: [DATE], [AIT]:] [D), [O]:DET:D), [DAT], [B, [DEN:[DET:DATE [DES],], [DET[B, [DEM]:[A.","[ORGANIZATION] [LOCATION] Тел.: [CONTACT] Факс: [CONTACT] [CONTACT] www.[ORGANIZATION] [ID] [DOCUMENT_NUMBER] К [PERSON] [PERSON] e-mail: [CONTACT] Копия: [PERSON] [PERSON] e-mail: [CONTACT] Начальнику Управления приведения закупочных решений [ORGANIZATION] [PERSON] Голубину e-mail: [CONTACT] Согласование расчетов расходомерных устройств [OBJECT] [PERSON] Уважаемый [PERSON]! В ответ на Ваше письмо No [DOCUMENT_NUMBER] от [DATE_TIME] касательно рассмотрения поверочных расчетов расходомерных устройств антиповреждной защиты [OBJECT] сообщаем, что расчеты рассмотрены, замечаний к расчетам нет. Заместитель управляющего директора по управлению проектами [PERSON] Исп: Ведущий инженер-конструктор [PERSON] тел.: [CONTACT] доб.[CONTACT] Email: [CONTACT] [ORGANIZATION] СТО [ORGANIZATION] [FINANCIAL_DATA] Интерпретированная система менеджмента сертифицирована на соответствие ISO 9001, ISO 14001, ISO 45001 Вх. No [DOCUMENT_NUMBER] от [DATE_TIME]"
