run_key,method,model,balanced_accuracy,macro_f1,f1_group_A,f1_group_B,f1_group_C,trainable_params,train_time_sec,timestamp,is_cw,model_short,mm
ruadapt_qwen3_32b_qlora_iter3,qlora,RefalMachine/RuadaptQwen3-32B-Instruct,0.554,0.5538,0.6679,0.5515,0.625,268619776,15974.209258317947,2026-05-11T19:00:25,False,Ruadapt-Qwen3-32B,Ruadapt-Qwen3-32B · qlora
vistral_24b_qlora_iter4_cw,qlora,Vikhrmodels/Vistral-24B-Instruct,0.5704,0.5493,0.7071,0.6032,0.5889,92590080,12111.449213981628,2026-05-12T11:23:09,True,Vistral-24B,Vistral-24B · qlora
qwen3_14b_lora_iter3,lora,Qwen/Qwen3-14B,0.5398,0.5473,0.778,0.5583,0.5056,64409600,7477.99805355072,2026-05-11T21:17:09,False,Qwen3-14B,Qwen3-14B · lora
tpro_it_21_qlora_cw,qlora,t-tech/T-pro-it-2.1,0.5491,0.5327,0.7471,0.5121,0.5972,134402048,15854.945567131042,2026-05-10T15:40:41,True,T-pro-it-2.1,T-pro-it-2.1 · qlora
qwen3_32b_qlora_best_cw,qlora,Qwen/Qwen3-32B,0.5601,0.5323,0.7497,0.5182,0.5889,134402048,22252.40145277977,2026-05-08T02:55:33,True,Qwen3-32B,Qwen3-32B · qlora
qwen3_14b_qlora_iter3,qlora,Qwen/Qwen3-14B,0.5638,0.5297,0.7465,0.6097,0.5056,64409600,8320.259022712708,2026-05-11T21:30:44,False,Qwen3-14B,Qwen3-14B · qlora
qlora_t_pro_it_2_1,qlora,t-tech/T-pro-it-2.1,0.5299,0.5295,0.7306,0.4661,0.5972,268619776,11124.30968093872,2026-04-24T02:22:44,False,T-pro-it-2.1,T-pro-it-2.1 · qlora
vikhr_nemo_12b_qlora_iter4_cw,qlora,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,0.5634,0.5269,0.7016,0.5655,0.625,57200640,7055.810645103455,2026-05-12T11:06:45,True,Vikhr-Nemo-12B,Vikhr-Nemo-12B · qlora
vikhr_nemo_12b_qlora_iter1,qlora,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,0.5583,0.5248,0.7107,0.5604,0.5889,57200640,7826.343893766403,2026-05-10T13:21:39,False,Vikhr-Nemo-12B,Vikhr-Nemo-12B · qlora
qwen25_32b_qlora_iter4_cw,qlora,Qwen/Qwen2.5-32B-Instruct,0.5612,0.5232,0.7254,0.5353,0.5889,134402048,17022.660708904266,2026-05-12T05:04:11,True,Qwen2.5-32B,Qwen2.5-32B · qlora
vikhr_nemo_12b_lora_iter3,lora,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,0.5412,0.521,0.712,0.4912,0.5889,114216960,6331.169629812241,2026-05-11T23:07:03,False,Vikhr-Nemo-12B,Vikhr-Nemo-12B · lora
