model,model_name,model_size,k_shots,balanced_accuracy,macro_f1,unknown_rate,f1_group_A,f1_group_B,f1_group_C,prompt_tokens,skipped,n_test,exp_key,no_desc,max_example_chars
saiga_8b,IlyaGusev/saiga_llama3_8b,16,0,0.1080153229706801,0.0916916414431859,0.002932551319648,0.2117646989114352,0.1501711795829443,0.0,3263,False,341,0,,
saiga_8b,IlyaGusev/saiga_llama3_8b,16,1,0.0680803571428571,0.022943315582173,0.0,0.0875568551007147,0.0289032258064516,0.0,3454,False,341,1,,
vikhr_12b,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,24,0,0.2172974457200648,0.167278740084853,0.002932551319648,0.3106839642765668,0.1835089355089355,0.1666666666666666,3163,False,341,0,,
vikhr_12b,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,24,1,0.191878145003145,0.1316408525399335,0.0,0.2989949656616323,0.1137662337662337,0.2083333333333333,3374,False,341,1,,
vikhr_12b,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,24,3,0.0942558598808598,0.0549440755513685,0.0498533724340175,0.0587443178280092,0.1237784002489885,0.0833333333333333,24292,False,341,3,,
vikhr_12b,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,24,5,,,,,,,38245,True,341,5,,
qwen_14b,Qwen/Qwen2.5-14B-Instruct,28,0,0.2845625099841369,0.2139646999912096,0.0,0.388640106459692,0.2842826019296607,0.25,3490,False,341,0,,
qwen_14b,Qwen/Qwen2.5-14B-Instruct,28,1,0.2676421966848554,0.2000747657347642,0.0,0.3808352154828426,0.2526917526917526,0.25,3681,False,341,1,,
qwen_14b,Qwen/Qwen2.5-14B-Instruct,28,3,0.313482285828516,0.2362315032352787,0.0,0.3684485052231945,0.2930999066293184,0.3472222222222221,23913,False,341,3,,
qwen_14b,Qwen/Qwen2.5-14B-Instruct,28,5,,,,,,,37499,True,341,5,,
vikhr_12b,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,24,3,0.0474159328325995,0.0221093615003539,0.0205278592375366,0.0413105413105413,0.0698181818181818,0.0,22062,False,341,3nd,True,500.0
vikhr_12b,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,24,5,0.0596814093093854,0.0369645387891581,0.1554252199413489,0.0802160197411521,0.073015873015873,0.0,27182,False,341,5s,False,300.0
vikhr_12b,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,24,5,0.0421256433161195,0.0229275206656954,0.0146627565982404,0.0494444444444444,0.0471861471861471,0.0,24952,False,341,5snd,True,300.0
qwen_14b,Qwen/Qwen2.5-14B-Instruct,28,3,0.2931310266379711,0.2218398456851614,0.0,0.3793313410947319,0.2892592592592592,0.2638888888888889,21427,False,341,3nd,True,500.0
qwen_14b,Qwen/Qwen2.5-14B-Instruct,28,5,0.3557375916998933,0.2483620442109336,0.0,0.3680422174675048,0.3442690207396089,0.3888888888888888,26353,False,341,5s,False,300.0
qwen_14b,Qwen/Qwen2.5-14B-Instruct,28,5,0.3265562378905633,0.2204573820561498,0.002932551319648,0.3540989121001679,0.3098607558965615,0.3194444444444444,23867,False,341,5snd,True,300.0
qwen_32b,Qwen/Qwen2.5-32B-Instruct-AWQ,20,0,0.2941346104292532,0.2216045022102738,0.0,0.3845311333546627,0.311999111999112,0.2833333333333333,3490,False,341,0,False,500.0
qwen_32b,Qwen/Qwen2.5-32B-Instruct-AWQ,20,1,0.2869924094130443,0.2198320164947924,0.0,0.3742046198567938,0.2951828847481021,0.2833333333333333,3681,False,341,1,False,500.0
qwen_32b,Qwen/Qwen2.5-32B-Instruct-AWQ,20,3,0.3766411388435198,0.2632043424546805,0.0,0.4527962281328533,0.3086289394985047,0.4305555555555555,23913,False,341,3,False,500.0
qwen_32b,Qwen/Qwen2.5-32B-Instruct-AWQ,20,3,0.3380341797752512,0.2699510409774937,0.0,0.4561834767686007,0.3501827801827801,0.2916666666666667,21427,False,341,3nd,True,500.0
qwen_32b,Qwen/Qwen2.5-32B-Instruct-AWQ,20,5,0.3571882482596769,0.2305754996350971,0.0,0.4191055986660106,0.3446473011690403,0.3666666666666667,26353,False,341,5s,False,300.0
qwen_32b,Qwen/Qwen2.5-32B-Instruct-AWQ,20,5,0.3203455935598793,0.2059884019736281,0.0,0.3970977127247324,0.3007427757427757,0.2638888888888889,23867,False,341,5snd,True,300.0
t_lite_8b,t-tech/T-lite-it-1.0,16,0,0.18411043872353394,0.16641156464306542,0.0,0.2949826816997764,0.15224749908960436,0.19444444444444442,3469,False,341,0,False,500.0
t_lite_8b,t-tech/T-lite-it-1.0,16,1,0.13294891285962715,0.11349164205982623,0.008797653958944282,0.23819223985890656,0.10485958485958484,0.1111111111111111,3660,False,341,1,False,500.0
t_lite_8b,t-tech/T-lite-it-1.0,16,3,0.03716939567634012,0.03162170628630897,0.5366568914956011,0.08290708052936746,0.0498989898989899,0.0,23892,False,341,3,False,500.0
t_lite_8b,t-tech/T-lite-it-1.0,16,3,0.023937289562289563,0.021409137697263467,0.41642228739002934,0.07233211233211233,0.01515151515151515,0.0,21406,False,341,3nd,True,500.0
t_lite_8b,t-tech/T-lite-it-1.0,16,5,0.03551136363636363,0.03673641173641174,0.7888563049853372,0.021164021164021163,0.01111111111111111,0.08333333333333333,26332,False,341,5s,False,300.0
t_lite_8b,t-tech/T-lite-it-1.0,16,5,0.036361882716049385,0.032828513180490036,0.6803519061583577,0.01968253968253968,0.007017543859649122,0.08333333333333333,23846,False,341,5snd,True,300.0
