method,model,setting,balanced_accuracy,macro_f1,unknown_rate
baseline,Linear SVM,baseline,0.482,0.453,0.0
baseline,Logistic Regression,baseline,0.4541,0.4616,0.0
baseline,Multinomial Naive Bayes,baseline,0.4652,0.4612,0.0
baseline,rubert-tiny2,baseline,0.5027,0.4497,0.0
baseline,rubert-base,baseline,0.5221,0.4696,0.0
augmented,Linear SVM,augmented,0.482,0.453,0.0
augmented,Logistic Regression,augmented,0.4541,0.4616,0.0
augmented,Multinomial Naive Bayes,augmented,0.4652,0.4612,0.0
augmented,rubert-tiny2,augmented,0.5027,0.4497,0.0
augmented,rubert-base,augmented,0.5221,0.4696,0.0
prompt,IlyaGusev/saiga_llama3_8b,K=0_exp0,0.1105899639381782,0.0926773810466419,0.002932551319648
prompt,IlyaGusev/saiga_llama3_8b,K=1_exp1,0.0625413359788359,0.0234643598354569,0.0
prompt,t-tech/T-lite-it-1.0,K=0_exp0,0.1809944932712789,0.1603317705924411,0.0
prompt,t-tech/T-lite-it-1.0,K=1_exp1,0.1329489128596271,0.1141036558975615,0.0058651026392961
prompt,t-tech/T-lite-it-1.0,K=3_exp3,0.0269640017903906,0.0243081407125437,0.5542521994134897
prompt,t-tech/T-lite-it-1.0,K=3_exp3nd,0.0219118265993265,0.0180522554556845,0.407624633431085
prompt,t-tech/T-lite-it-1.0,K=5_exp5s,0.0372474747474747,0.0381054131054131,0.7976539589442815
prompt,t-tech/T-lite-it-1.0,K=5_exp5snd,0.0392875514403292,0.0353932862628514,0.6304985337243402
prompt,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,K=0_exp0,0.2216377234978425,0.1741940227170134,0.002932551319648
prompt,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,K=1_exp1,0.2190772190772191,0.1591168363931324,0.0
prompt,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,K=3_exp3,0.0823108218941552,0.0470757010102591,0.0586510263929618
prompt,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,K=3_exp3nd,0.0423654277820944,0.0193684716456993,0.0234604105571847
prompt,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,K=5_exp5s,0.0395873058819487,0.0256574074074074,0.1612903225806451
prompt,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,K=5_exp5snd,0.0421256433161195,0.0224264242199024,0.0117302052785923
prompt,Qwen/Qwen2.5-14B-Instruct,K=0_exp0,0.2854305655396925,0.2170952480724512,0.0
prompt,Qwen/Qwen2.5-14B-Instruct,K=1_exp1,0.2682209003885591,0.2019333619813522,0.0
prompt,Qwen/Qwen2.5-14B-Instruct,K=3_exp3,0.3157852903636634,0.258205417189802,0.0
prompt,Qwen/Qwen2.5-14B-Instruct,K=3_exp3nd,0.2931310266379711,0.2218153818201658,0.0
prompt,Qwen/Qwen2.5-14B-Instruct,K=5_exp5s,0.3582886121080565,0.2516748341910561,0.0
prompt,Qwen/Qwen2.5-14B-Instruct,K=5_exp5snd,0.3340793860387114,0.232346698555343,0.002932551319648
finetune,Qwen/Qwen3-14B,lora,0.4304808874253318,0.440349163064359,0.0
finetune,Qwen/Qwen3-14B,tinylora,0.2377579100793386,0.2341199944010955,0.0
finetune,Qwen/Qwen3-32B,qlora,0.5614926005799021,0.5228160223865589,0.0
finetune,Qwen/Qwen3-32B,adalora,0.4940399318127491,0.4783249951566255,0.0
